country_code,country_name,snapshot_year,time_index,decade,bmu_x,bmu_y,cluster,GDP_per_capita_constant_2015_US_t-2,Trade_percent_of_GDP_t-2,Unemployment_total_percent_of_labor_force_t-2,Agriculture_value_added_percent_of_GDP_t-2,Industry_value_added_percent_of_GDP_t-2,Urban_population_percent_t-2,Inflation_consumer_prices_annual_percent_t-2,Gross_fixed_capital_formation_percent_of_GDP_t-2,Access_to_electricity_percent_of_population_t-2,Internet_users_percent_of_population_t-2,Services_value_added_percent_of_GDP_t-2,Gross_domestic_savings_percent_of_GDP_t-2,FDI_net_inflows_percent_of_GDP_t-2,GDP_per_capita_constant_2015_US_t-1,Trade_percent_of_GDP_t-1,Unemployment_total_percent_of_labor_force_t-1,Agriculture_value_added_percent_of_GDP_t-1,Industry_value_added_percent_of_GDP_t-1,Urban_population_percent_t-1,Inflation_consumer_prices_annual_percent_t-1,Gross_fixed_capital_formation_percent_of_GDP_t-1,Access_to_electricity_percent_of_population_t-1,Internet_users_percent_of_population_t-1,Services_value_added_percent_of_GDP_t-1,Gross_domestic_savings_percent_of_GDP_t-1,FDI_net_inflows_percent_of_GDP_t-1,GDP_per_capita_constant_2015_US_t0,Trade_percent_of_GDP_t0,Unemployment_total_percent_of_labor_force_t0,Agriculture_value_added_percent_of_GDP_t0,Industry_value_added_percent_of_GDP_t0,Urban_population_percent_t0,Inflation_consumer_prices_annual_percent_t0,Gross_fixed_capital_formation_percent_of_GDP_t0,Access_to_electricity_percent_of_population_t0,Internet_users_percent_of_population_t0,Services_value_added_percent_of_GDP_t0,Gross_domestic_savings_percent_of_GDP_t0,FDI_net_inflows_percent_of_GDP_t0
SA,Saudi Arabia,1990,1992,1990,4,-3,9,77.03851904948839,71.7080755916236,,5.6360024970206,48.5534305658022,77.0087350727391,30.917366941667836,18.8981329095965,100.0,0.0,44.2215538278191,24.6455933261449,1.5823604411403,77.52812361718279,74.6992988351616,7.316,5.36536504192449,48.2662730019225,77.5670358381365,35.88950913563469,20.2917750456403,100.0,,44.9547231691358,21.9031213144417,0.121007480168667,77.50842015036574,75.0920345777317,7.2,5.54252679228818,51.0226064192414,78.0,21.67129446746451,20.2485810118544,100.0,,41.6623489951188,26.085228888534,-0.0575786497959332
SA,Saudi Arabia,1992,1994,1990,5,-2,9,77.50842015036574,75.0920345777317,7.2,5.54252679228818,51.0226064192414,78.0,21.67129446746451,20.2485810118544,100.0,,41.6623489951188,26.085228888534,-0.0575786497959332,76.87470405215893,67.80697438575,7.002,5.99861436044702,47.3454961694095,78.3431652316083,27.804899822415557,21.8537447410963,100.0,,44.7927063147008,25.9536312793068,1.02821764581848,76.35335216871695,60.0713114592181,6.733,6.08596882839816,47.0967741935484,78.64816223271,25.69663393625174,18.3714912194062,100.0,,45.1798589573909,28.2877348240918,0.258430621127419
SA,Saudi Arabia,1994,1996,1990,4,-3,9,76.35335216871695,60.0713114592181,6.733,6.08596882839816,47.0967741935484,78.64816223271,25.69663393625174,18.3714912194062,100.0,,45.1798589573909,28.2877348240918,0.258430621127419,75.75385021212958,65.0417272083752,6.365,5.84870161320368,48.4793785626467,78.9202387655061,35.89914048568207,19.2459297343616,100.0,0.011,44.2746171901196,29.9200849446742,-1.30781764216435,75.63733264509781,66.653820067958,5.804,5.36780260892541,51.4497863481608,79.164642592198,28.405044551150628,17.3089124540762,100.0,0.0267,41.6887835729589,31.963122968877,-0.710606970934706
SA,Saudi Arabia,1996,1998,1990,4,-3,9,75.63733264509781,66.653820067958,5.804,5.36780260892541,51.4497863481608,79.164642592198,28.405044551150628,17.3089124540762,100.0,0.0267,41.6887835729589,31.963122968877,-0.710606970934706,75.44258149872613,65.1880669440449,5.283,5.3519196053635,50.1700631019381,79.3866214749866,22.67263068417944,17.5760296299157,100.0,0.0521,43.0138978720392,31.9067018055328,1.83140466437341,75.29062372676091,56.0883926105725,4.752,6.14071743143268,43.1766980131103,79.5914231760733,19.807324683554647,20.5227758317466,100.0,0.101,48.8633886135376,26.1257103821165,2.91838054679437
SA,Saudi Arabia,1998,2000,1990,4,-3,9,75.29062372676091,56.0883926105725,4.752,6.14071743143268,43.1766980131103,79.5914231760733,19.807324683554647,20.5227758317466,100.0,0.101,48.8633886135376,26.1257103821165,2.91838054679437,74.62487156974049,57.8460488194196,4.346,5.6543197254794,46.8248249205609,79.7842954576591,15.70401668943078,19.4901713115416,100.0,0.494,45.9322372076994,33.0005161277556,-0.481664272911208,74.64840497411822,68.1664488005167,4.57,4.90093304872369,53.4502821941208,79.9704860819453,16.427129562581165,17.3529333132587,100.0,2.21069,40.2910729286417,37.9610542564104,-0.9925690992161
SA,Saudi Arabia,2000,2002,2000,4,-3,9,74.64840497411822,68.1664488005167,4.57,4.90093304872369,53.4502821941208,79.9704860819453,16.427129562581165,17.3529333132587,100.0,2.21069,40.2910729286417,37.9610542564104,-0.9925690992161,73.88830995706276,63.5605836794513,4.618,5.13485567314878,50.7812997816126,80.155242811133,16.44185196092474,18.2609816427136,100.0,4.68105,43.0507041111285,35.3299561487351,0.0106659367777141,73.00142631877385,64.5927974099254,5.265,5.03753751642003,51.002641268484,80.3438134074234,23.948302481915142,18.0115383208958,100.0,6.38471,42.9210347921724,36.998151955917,-0.323899963714203
SA,Saudi Arabia,2002,2004,2000,4,-3,9,73.00142631877385,64.5927974099254,5.265,5.03753751642003,51.002641268484,80.3438134074234,23.948302481915142,18.0115383208958,100.0,6.38471,42.9210347921724,36.998151955917,-0.323899963714203,73.56967024611549,69.831170708742,5.563,4.47188176141973,53.9639605129998,80.5414456330177,25.92923161467324,18.2999929566936,100.0,8.00158,40.5648731772355,41.3696636141553,-0.271772775519938,74.14668103255842,75.0828366569341,5.822,3.86835593326895,56.7056209373966,80.7542316538166,25.45198277767688,19.1564729053276,100.0,10.2345,38.5165977348877,46.7524423286814,-0.129209725410009
SA,Saudi Arabia,2004,2006,2000,5,-3,9,74.14668103255842,75.0828366569341,5.822,3.86835593326895,56.7056209373966,80.7542316538166,25.45198277767688,19.1564729053276,100.0,10.2345,38.5165977348877,46.7524423286814,-0.129209725410009,74.35755654643216,81.9540759410158,6.051,3.1854016709851,61.7372362527229,80.9775503092999,25.26502387447564,19.3123659884739,100.0,12.705,34.2555195076907,52.3222435367749,1.33515850333851,74.19776043852264,89.9446046768984,6.254,2.91996194095464,62.5369910258018,81.2008588083072,31.241177578056213,20.452131823724,100.0,19.4596,33.7619580996266,51.934372943221,1.58553602335569
SA,Saudi Arabia,2006,2008,2000,5,-3,9,74.19776043852264,89.9446046768984,6.254,2.91996194095464,62.5369910258018,81.2008588083072,31.241177578056213,20.452131823724,100.0,19.4596,33.7619580996266,51.934372943221,1.58553602335569,73.89104209565338,94.8633170967657,5.734,2.74276747836675,62.6934226825684,81.4230015549063,34.918071986425616,23.6515662097205,100.0,30.0,33.8067662415393,51.4844816005881,1.48457884530209,74.20753445628083,96.1026308742185,5.085,2.29269078480924,66.4293431587112,81.6441431042994,40.65604297153743,22.8037315094411,100.0,36.0,30.5115127039387,55.4161677537581,1.05925699592349
SA,Saudi Arabia,2008,2010,2000,5,-3,9,74.20753445628083,96.1026308742185,5.085,2.29269078480924,66.4293431587112,81.6441431042994,40.65604297153743,22.8037315094411,100.0,36.0,30.5115127039387,55.4161677537581,1.05925699592349,73.42704775122539,84.8583415624843,5.377,2.83043433137553,54.6450009539393,81.8644480116889,36.14348293534376,25.75648632138,100.0,38.0,41.723193527879,41.0341821011151,0.10169038708409,74.35178745430716,82.5496850227537,5.55,2.61912238524459,58.0314401714882,82.0791668544465,36.49486659344206,24.4308044616812,100.0,41.0,38.6088698481102,47.5160770162027,0.923670092367435
