country_code,country_name,snapshot_year,time_index,decade,bmu_x,bmu_y,cluster,GDP_per_capita_constant_2015_US_t-2,Trade_percent_of_GDP_t-2,Unemployment_total_percent_of_labor_force_t-2,Agriculture_value_added_percent_of_GDP_t-2,Industry_value_added_percent_of_GDP_t-2,Urban_population_percent_t-2,Inflation_consumer_prices_annual_percent_t-2,Gross_fixed_capital_formation_percent_of_GDP_t-2,Access_to_electricity_percent_of_population_t-2,Internet_users_percent_of_population_t-2,Services_value_added_percent_of_GDP_t-2,Gross_domestic_savings_percent_of_GDP_t-2,FDI_net_inflows_percent_of_GDP_t-2,GDP_per_capita_constant_2015_US_t-1,Trade_percent_of_GDP_t-1,Unemployment_total_percent_of_labor_force_t-1,Agriculture_value_added_percent_of_GDP_t-1,Industry_value_added_percent_of_GDP_t-1,Urban_population_percent_t-1,Inflation_consumer_prices_annual_percent_t-1,Gross_fixed_capital_formation_percent_of_GDP_t-1,Access_to_electricity_percent_of_population_t-1,Internet_users_percent_of_population_t-1,Services_value_added_percent_of_GDP_t-1,Gross_domestic_savings_percent_of_GDP_t-1,FDI_net_inflows_percent_of_GDP_t-1,GDP_per_capita_constant_2015_US_t0,Trade_percent_of_GDP_t0,Unemployment_total_percent_of_labor_force_t0,Agriculture_value_added_percent_of_GDP_t0,Industry_value_added_percent_of_GDP_t0,Urban_population_percent_t0,Inflation_consumer_prices_annual_percent_t0,Gross_fixed_capital_formation_percent_of_GDP_t0,Access_to_electricity_percent_of_population_t0,Internet_users_percent_of_population_t0,Services_value_added_percent_of_GDP_t0,Gross_domestic_savings_percent_of_GDP_t0,FDI_net_inflows_percent_of_GDP_t0
SB,Solomon Islands,1990,1992,1990,-4,0,1,35.34850661061999,142.442017969002,,38.4630255239294,,13.7716874423522,39.80693068799245,9.75378159219262,,0.0,,-50.171429796777,4.85848679417669,35.7813093658014,168.200409411776,1.967,62.5320232372346,,13.9475479872714,43.6631460193324,12.303398571025,,,,-57.8396527203866,6.37834083813662,37.1802078977984,149.791776736118,1.851,64.6732343167375,,14.1156307980977,41.2573475664568,10.2823168776488,,,,-28.7193742461221,5.26810062249907
SB,Solomon Islands,1992,1994,1990,-4,0,1,37.1802078977984,149.791776736118,1.851,64.6732343167375,,14.1156307980977,41.2573475664568,10.2823168776488,,,,-28.7193742461221,5.26810062249907,37.32848380913335,161.468807053225,1.829,60.5195102404915,,14.28070381854,40.141193235435765,11.7868056828258,,,,-40.2942800300949,7.77094629688508,38.08684083086934,136.814712152103,1.804,51.7919861272597,,14.4475349923074,42.74843224021297,8.89974423040141,,,,-26.6328013800336,0.520408720090099
SB,Solomon Islands,1994,1996,1990,-4,0,1,38.08684083086934,136.814712152103,1.804,51.7919861272597,,14.4475349923074,42.74843224021297,8.89974423040141,,,,-26.6328013800336,0.520408720090099,39.134600918794185,114.205186316442,1.841,46.7765930153709,,14.620892263109,40.48301325698095,6.31693527818219,,0.0249,,-13.8924667482156,0.431553004153041,38.93246621065864,98.795453322306,1.875,43.2580203346195,,14.8055435746538,41.90159797303167,6.48019093498172,,0.269,,-17.5770236592869,1.16423758458683
SB,Solomon Islands,1996,1998,1990,-4,0,1,38.93246621065864,98.795453322306,1.875,43.2580203346195,,14.8055435746538,41.90159797303167,6.48019093498172,,0.269,,-17.5770236592869,1.16423758458683,38.34212580089611,100.91097317163,2.009,42.6278607175143,,15.006256870651,39.27078061979806,6.59114710842544,,0.392,,-12.6115366431758,6.43275577805472,38.1037737095488,83.1388019998149,2.155,36.6954341141105,,15.2278000948096,42.27028609187652,7.21564930020228,,0.508,,2.11222930480305,1.92417308012615
SB,Solomon Islands,1998,2000,1990,-4,0,1,38.1037737095488,83.1388019998149,2.155,36.6954341141105,,15.2278000948096,42.27028609187652,7.21564930020228,,0.508,,2.11222930480305,1.92417308012615,37.60649818434081,69.1617439923623,2.194,33.5982924122113,,15.4759628886412,39.21653528608441,6.90346862875386,15.7,0.495,,6.57023438631277,2.02868816012206,34.83747432153888,58.5523280892414,2.446,34.4059283600331,,15.7523593692696,39.10381421715954,7.62912028660779,4.7,0.481297,,-7.36933703974407,0.477405088785097
SB,Solomon Islands,2000,2002,2000,-4,0,1,34.83747432153888,58.5523280892414,2.446,34.4059283600331,,15.7523593692696,39.10381421715954,7.62912028660779,4.7,0.481297,,-7.36933703974407,0.477405088785097,33.23543099114749,45.1100685673042,2.642,23.901188129806,,16.0619258388978,38.2183239502648,7.91161202565028,7.6,0.468552,,-22.0979189221701,-2.10427182649691,32.49602041550661,45.1275100252581,2.698,30.0235634042157,,16.4026212138182,41.37366594526496,5.98848474268828,10.5,0.50192,,-4.71293321500658,0.04208946552377
SB,Solomon Islands,2002,2004,2000,-3,0,1,32.49602041550661,45.1275100252581,2.698,30.0235634042157,,16.4026212138182,41.37366594526496,5.98848474268828,10.5,0.50192,,-4.71293321500658,0.04208946552377,33.197575463075815,55.9586091334969,2.286,35.8267834161723,9.50877599494871,16.7733115757749,39.42674084390253,9.0353023276316,13.4,0.55561,37.2921820147475,16.4235828627115,-0.24166681936572,34.07469070922288,62.8118976683083,2.026,35.5410591975308,9.67379284707701,17.172863006512,38.27652532239209,9.91933482221827,16.3,0.649673,37.9918338630721,11.0396651165432,-0.642148336511867
SB,Solomon Islands,2004,2006,2000,-3,0,1,34.07469070922288,62.8118976683083,2.026,35.5410591975308,9.67379284707701,17.172863006512,38.27652532239209,9.91933482221827,16.3,0.649673,37.9918338630721,11.0396651165432,-0.642148336511867,34.90914796243233,66.5710765635257,1.879,31.2455081849074,8.5987215506694,17.6001415877737,38.60273255294057,12.6024533088224,19.2,0.844308,45.2170056105181,1.49444943944652,0.099144118861877,35.27015930476491,69.7893991429226,1.916,30.6960544230665,9.32536931430012,18.0540134013038,41.55923200370438,11.6455348040394,14.4,1.64635,46.639658133248,3.22634079575371,7.17813029275399
SB,Solomon Islands,2006,2008,2000,-3,0,1,35.27015930476491,69.7893991429226,1.916,30.6960544230665,9.32536931430012,18.0540134013038,41.55923200370438,11.6455348040394,14.4,1.64635,46.639658133248,3.22634079575371,7.17813029275399,35.55941778943674,83.7476138715,1.978,30.8166654351873,9.98457958747137,18.5333445288467,38.90728427416061,13.1013585665304,12.9,2.0,47.7037221987613,6.88616256542893,12.3665456662597,36.236761252297065,87.3526158028726,1.998,31.5381809451863,10.2651535362455,19.0370010521463,44.68391108476619,13.3782748829013,28.1,3.0,48.0696169365949,4.82981330748155,9.68358178998539
SB,Solomon Islands,2008,2010,2000,-2,0,3,36.236761252297065,87.3526158028726,1.998,31.5381809451863,10.2651535362455,19.0370010521463,44.68391108476619,13.3782748829013,28.1,3.0,48.0696169365949,4.82981330748155,9.68358178998539,36.39378503201428,71.8849530192377,2.02,30.4318172056714,11.8218587913377,19.5633740998673,38.37911362423049,12.7912021106499,21.2,4.0,48.8422797496054,5.49585641205879,6.03099456453907,37.40222453577767,96.1485545423385,1.617,32.4643241866501,12.9725534512526,20.1194058206257,27.78869082741362,17.9438829858377,35.4,5.0,48.4538045268229,3.98434972681729,18.4740701129879
