country_code,country_name,snapshot_year,time_index,decade,bmu_x,bmu_y,cluster,GDP_per_capita_constant_2015_US_t-2,Trade_percent_of_GDP_t-2,Unemployment_total_percent_of_labor_force_t-2,Agriculture_value_added_percent_of_GDP_t-2,Industry_value_added_percent_of_GDP_t-2,Urban_population_percent_t-2,Inflation_consumer_prices_annual_percent_t-2,Gross_fixed_capital_formation_percent_of_GDP_t-2,Access_to_electricity_percent_of_population_t-2,Internet_users_percent_of_population_t-2,Services_value_added_percent_of_GDP_t-2,Gross_domestic_savings_percent_of_GDP_t-2,Fertility_rate_total_t-2,FDI_net_inflows_percent_of_GDP_t-2,GDP_per_capita_constant_2015_US_t-1,Trade_percent_of_GDP_t-1,Unemployment_total_percent_of_labor_force_t-1,Agriculture_value_added_percent_of_GDP_t-1,Industry_value_added_percent_of_GDP_t-1,Urban_population_percent_t-1,Inflation_consumer_prices_annual_percent_t-1,Gross_fixed_capital_formation_percent_of_GDP_t-1,Access_to_electricity_percent_of_population_t-1,Internet_users_percent_of_population_t-1,Services_value_added_percent_of_GDP_t-1,Gross_domestic_savings_percent_of_GDP_t-1,Fertility_rate_total_t-1,FDI_net_inflows_percent_of_GDP_t-1,GDP_per_capita_constant_2015_US_t0,Trade_percent_of_GDP_t0,Unemployment_total_percent_of_labor_force_t0,Agriculture_value_added_percent_of_GDP_t0,Industry_value_added_percent_of_GDP_t0,Urban_population_percent_t0,Inflation_consumer_prices_annual_percent_t0,Gross_fixed_capital_formation_percent_of_GDP_t0,Access_to_electricity_percent_of_population_t0,Internet_users_percent_of_population_t0,Services_value_added_percent_of_GDP_t0,Gross_domestic_savings_percent_of_GDP_t0,Fertility_rate_total_t0,FDI_net_inflows_percent_of_GDP_t0
SG,Singapore,1990,1992,1990,-2,6,8,23272.7000932159,344.33221784507,,0.323439581344345,30.8585476711641,100.0,3.46075338652824,31.7221880971397,100.0,0.0,64.1826128527513,45.9051555985547,1.83,15.4235472379855,24132.7153290621,323.887994825751,2.18,0.250054747220624,32.6178847711057,100.0,3.42570173078643,33.1447312802701,100.0,0.162,62.8172155818229,47.5096380572121,1.73,10.7488600422674,24973.4311358112,311.312267281518,3.09,0.197361758450875,32.2871354518713,100.0,2.26307118702851,35.1984569042466,100.0,0.471,62.4616993365536,47.8448001771075,1.72,4.22844121278652
SG,Singapore,1992,1994,1990,-2,6,8,24973.4311358112,311.312267281518,3.09,0.197361758450875,32.2871354518713,100.0,2.26307118702851,35.1984569042466,100.0,0.471,62.4616993365536,47.8448001771075,1.72,4.22844121278652,27139.9524278985,313.416139807665,3.07,0.172788647418229,32.1379735731406,100.0,2.28929964388641,34.644123807355,100.0,0.763,62.0075344836918,47.364717824497,1.74,7.73270125338351,29220.2727915476,316.216547584567,3.03,0.173159173171612,31.3042288508592,100.0,3.10013262599502,33.3560184584658,100.0,1.19,61.8328396505188,48.861005336039,1.71,11.6030848586318
SG,Singapore,1994,1996,1990,-2,6,8,29220.2727915476,316.216547584567,3.03,0.173159173171612,31.3042288508592,100.0,3.10013262599502,33.3560184584658,100.0,1.19,61.8328396505188,48.861005336039,1.71,11.6030848586318,30379.8991144598,345.459263895462,3.3,0.144861979394729,31.4922551466979,100.0,1.72053384788524,33.1861681314894,100.0,2.87,61.6183244378062,50.8800586196895,1.67,13.6003946544884,31349.3171805131,334.911163288092,3.57,0.150025188323224,31.5548560435773,100.0,1.38318052481876,37.8763886720304,100.0,8.35,62.0785374864116,50.6244789257696,1.66,11.8724659997363
SG,Singapore,1996,1998,1990,-2,6,8,31349.3171805131,334.911163288092,3.57,0.150025188323224,31.5548560435773,100.0,1.38318052481876,37.8763886720304,100.0,8.35,62.0785374864116,50.6244789257696,1.66,11.8724659997363,32835.2518506082,323.86442214814,2.5,0.132916824740826,31.070384032761,100.0,2.00358618538962,38.4332092955677,100.0,13.5,62.6299907711597,51.4599998385626,1.61,15.6823709085456,31043.108180076,312.079255674686,3.41,0.111378366529616,32.0879122410958,100.0,-0.267502292876153,38.0166147528244,100.0,19.6,62.7222601305176,51.0539474151925,1.48,6.95062480351291
SG,Singapore,1998,2000,1990,-2,6,8,31043.108180076,312.079255674686,3.41,0.111378366529616,32.0879122410958,100.0,-0.267502292876153,38.0166147528244,100.0,19.6,62.7222601305176,51.0539474151925,1.48,6.95062480351291,32557.0469904063,336.484846412882,4.85,0.111245961607494,30.845626570486,100.0,0.0167098337370727,34.5735628450796,100.0,24.2,63.0692808669937,48.7135604519581,1.47,21.8492034558928,34890.0811365168,364.364520468218,3.7,0.092131732680321,32.4585044954973,100.0,1.36162392448456,32.3263443625764,100.0,36.0,60.6645197437216,47.6406186229264,1.6,16.1488904515269
SG,Singapore,2000,2002,2000,-3,6,1,34890.0811365168,364.364520468218,3.7,0.092131732680321,32.4585044954973,100.0,1.36162392448456,32.3263443625764,100.0,36.0,60.6645197437216,47.6406186229264,1.6,16.1488904515269,33597.8690808226,349.292105694978,3.76,0.0823566559095407,30.3796610759446,100.0,0.997197956155943,30.8870402323141,100.0,41.6704,63.593634234512,42.1451018611983,1.41,18.9398606857353,34598.8267483781,349.746013985676,5.65,0.0710328000140014,30.7456754181249,100.0,-0.391676866585049,26.751423220906,100.0,47.0,63.9769556802401,41.9771862199989,1.37,6.65366588247055
SG,Singapore,2002,2004,2000,-3,6,1,34598.8267483781,349.746013985676,5.65,0.0710328000140014,30.7456754181249,100.0,-0.391676866585049,26.751423220906,100.0,47.0,63.9769556802401,41.9771862199989,1.37,6.65366588247055,36709.7965038255,377.218564301581,5.93,0.0611340723110266,30.2248029160952,100.0,0.507905300237551,24.7662944346245,100.0,53.8379,64.3487252076354,43.0505549386631,1.27,17.4624153696896,39856.6356222613,401.523712538509,5.84,0.0556489896262466,31.8858938554669,100.0,1.66272719863072,24.2814234209213,100.0,62.0,63.0725751287076,47.6829036223275,1.26,21.2027237505542
SG,Singapore,2004,2006,2000,-3,6,1,39856.6356222613,401.523712538509,5.84,0.0556489896262466,31.8858938554669,100.0,1.66272719863072,24.2814234209213,100.0,62.0,63.0725751287076,47.6829036223275,1.26,21.2027237505542,41798.4880834671,420.430512920559,5.59,0.0550481142142599,31.4076522049802,100.0,0.425106276569107,23.187995656323,100.0,61.0,64.0731843759255,50.2549794803571,1.26,15.1133588478775,44159.4101820552,425.363399543019,4.48,0.0488654244516825,30.8942965496098,100.0,0.965657519018511,23.0867111452125,100.0,59.0,64.8768540490551,51.9869680909625,1.28,26.3271523046735
SG,Singapore,2006,2008,2000,-3,6,1,44159.4101820552,425.363399543019,4.48,0.0488654244516825,30.8942965496098,100.0,0.965657519018511,23.0867111452125,100.0,59.0,64.8768540490551,51.9869680909625,1.28,26.3271523046735,46178.8139470199,394.288471919078,3.9,0.0428679973714474,28.2257709638809,100.0,2.10980166714574,24.3756820742097,100.0,69.9,66.0401485014903,54.0979091858527,1.29,26.1619888768056,44601.5799302699,437.326714891057,3.96,0.0414321884664469,26.4153381596662,100.0,6.63544058395309,27.9789195945413,100.0,69.0,68.3479617553522,49.9358622421713,1.28,7.02328608228286
SG,Singapore,2008,2010,2000,-3,6,1,44601.5799302699,437.326714891057,3.96,0.0414321884664469,26.4153381596662,100.0,6.63544058395309,27.9789195945413,100.0,69.0,68.3479617553522,49.9358622421713,1.28,7.02328608228286,43331.8746638962,358.192811828842,5.86,0.0406877612701381,27.0163193688262,100.0,0.589142019610516,28.837459653074,100.0,69.0,68.0060695233087,50.9671045293021,1.22,12.0710944143275,48752.0515441859,369.685555787646,4.12,0.0361489888834213,26.6358717243037,100.0,2.82884527612958,25.5697212154501,100.0,71.0,67.8435170825381,53.9705933174527,1.15,23.0694716770802
