country_code,country_name,snapshot_year,time_index,decade,bmu_x,bmu_y,cluster,GDP_per_capita_constant_2015_US_t-2,Trade_percent_of_GDP_t-2,Unemployment_total_percent_of_labor_force_t-2,Agriculture_value_added_percent_of_GDP_t-2,Industry_value_added_percent_of_GDP_t-2,Urban_population_percent_t-2,Inflation_consumer_prices_annual_percent_t-2,Gross_fixed_capital_formation_percent_of_GDP_t-2,Access_to_electricity_percent_of_population_t-2,Internet_users_percent_of_population_t-2,Services_value_added_percent_of_GDP_t-2,Gross_domestic_savings_percent_of_GDP_t-2,FDI_net_inflows_percent_of_GDP_t-2,GDP_per_capita_constant_2015_US_t-1,Trade_percent_of_GDP_t-1,Unemployment_total_percent_of_labor_force_t-1,Agriculture_value_added_percent_of_GDP_t-1,Industry_value_added_percent_of_GDP_t-1,Urban_population_percent_t-1,Inflation_consumer_prices_annual_percent_t-1,Gross_fixed_capital_formation_percent_of_GDP_t-1,Access_to_electricity_percent_of_population_t-1,Internet_users_percent_of_population_t-1,Services_value_added_percent_of_GDP_t-1,Gross_domestic_savings_percent_of_GDP_t-1,FDI_net_inflows_percent_of_GDP_t-1,GDP_per_capita_constant_2015_US_t0,Trade_percent_of_GDP_t0,Unemployment_total_percent_of_labor_force_t0,Agriculture_value_added_percent_of_GDP_t0,Industry_value_added_percent_of_GDP_t0,Urban_population_percent_t0,Inflation_consumer_prices_annual_percent_t0,Gross_fixed_capital_formation_percent_of_GDP_t0,Access_to_electricity_percent_of_population_t0,Internet_users_percent_of_population_t0,Services_value_added_percent_of_GDP_t0,Gross_domestic_savings_percent_of_GDP_t0,FDI_net_inflows_percent_of_GDP_t0
SI,Slovenia,1980,1982,1980,-2,3,10,,,,,,48.4873931009815,,,,,,,,,,,,,49.0169271538591,51.3788200381256,,,,,,,,,,,,49.4404176451283,48.770787018457845,,,,,,
SI,Slovenia,1982,1984,1980,-2,3,10,,,,,,49.4404176451283,48.770787018457845,,,,,,,,,,,,49.8459897046519,50.94037404726085,,,,,,,,,,,,50.2111152771469,53.12100221154476,,,,,,
SI,Slovenia,1984,1986,1980,-3,3,10,,,,,,50.2111152771469,53.12100221154476,,,,,,,,,,,,50.5209470884892,56.09766273808625,,,,,,,,,,,,50.7606378645542,57.53641686562021,,,,,,
SI,Slovenia,1986,1988,1980,-3,3,10,,,,,,50.7606378645542,57.53641686562021,,,,,,,,,,,,50.9153403312178,59.98535557141369,,,,,,,,,,,,50.9702072143555,63.119799311162126,,,,,,
SI,Slovenia,1988,1990,1980,-1,4,10,,,,,,50.9702072143555,63.119799311162126,,,,,,,,,,,,50.2635307312012,77.46852795105642,,,,,,,68.45712057395244,139.573592304258,,,,50.5835609436035,70.97867539498512,19.0719349911117,100.0,0.0,,36.7377569609273,0.0
SI,Slovenia,1990,1992,1990,-1,4,9,68.45712057395244,139.573592304258,,,,50.5835609436035,70.97867539498512,19.0719349911117,100.0,0.0,,36.7377569609273,0.0,66.95571589195842,130.099381673414,7.08,,,50.527096993728,58.91468742391714,20.9510875385256,100.0,,,33.9431002920845,0.0,66.08030214650469,98.3919559552935,7.83,,,50.6631317138672,63.54004210501846,18.9336350766005,100.0,,,32.4977245279836,0.777460016987287
SI,Slovenia,1992,1994,1990,-2,3,9,66.08030214650469,98.3919559552935,7.83,,,50.6631317138672,63.54004210501846,18.9336350766005,100.0,,,32.4977245279836,0.777460016987287,66.56697666566704,96.0223552504566,8.51,,,50.3572006225586,49.1694491498674,19.1414358222637,100.0,0.41,,28.8167703093492,0.779276592556565,67.4158634020547,97.1248049291133,8.24,,,50.1755294799805,46.09354897234482,20.4433319586784,100.0,1.07,,31.2191331079202,0.712771539914575
SI,Slovenia,1994,1996,1990,2,0,10,67.4158634020547,97.1248049291133,8.24,,,50.1755294799805,46.09354897234482,20.4433319586784,100.0,1.07,,31.2191331079202,0.712771539914575,68.056353065641,93.0505272972723,7.15,3.8282975157752,29.3379548153648,50.2029106884133,42.86004629324475,23.1095139277958,100.0,2.9,52.7221006692923,23.0182222787013,0.703875268053307,68.52582464040484,93.6684415177777,6.879,3.6057770607895,29.8669847099583,50.2747487580715,40.65192623649506,23.9079940537581,100.0,5.07,52.5799414859057,23.7659268004002,0.807146507308572
SI,Slovenia,1996,1998,1990,2,0,10,68.52582464040484,93.6684415177777,6.879,3.6057770607895,29.8669847099583,50.2747487580715,40.65192623649506,23.9079940537581,100.0,5.07,52.5799414859057,23.7659268004002,0.807146507308572,69.35397774125684,96.4295395033677,6.648,3.66283406958042,30.6280114262613,50.3755853554947,39.50148167749592,25.2194333899588,100.0,7.59,52.7943458309031,25.020698804378,1.61384646482666,69.87167301323419,97.068081542623,7.39,3.48186775450156,31.0588628142247,50.4899621472228,39.10520729754016,26.2372567579746,100.0,10.1,52.1258977312605,25.5153571573848,0.977848343403061
SI,Slovenia,1998,2000,1990,2,0,10,69.87167301323419,97.068081542623,7.39,3.48186775450156,31.0588628142247,50.4899621472228,39.10520729754016,26.2372567579746,100.0,10.1,52.1258977312605,25.5153571573848,0.977848343403061,70.68158617896283,92.9581874247278,7.324,2.93554294561558,30.9793081217724,50.6024207997953,37.42941095377826,27.8104980024414,100.0,12.6,52.3073531173099,24.8125623271299,0.471479700146372,71.18426096960907,104.620348581459,6.918,3.00267671439981,30.4454054896668,50.6975029797519,39.94372017896659,27.5926973849984,100.0,15.1103,53.7987136396056,25.3562742100116,0.673638153483466
