country_code,country_name,snapshot_year,time_index,decade,bmu_x,bmu_y,cluster,GDP_per_capita_constant_2015_US_t-2,Trade_percent_of_GDP_t-2,Unemployment_total_percent_of_labor_force_t-2,Agriculture_value_added_percent_of_GDP_t-2,Industry_value_added_percent_of_GDP_t-2,Urban_population_percent_t-2,Inflation_consumer_prices_annual_percent_t-2,Gross_fixed_capital_formation_percent_of_GDP_t-2,Access_to_electricity_percent_of_population_t-2,Internet_users_percent_of_population_t-2,Services_value_added_percent_of_GDP_t-2,Gross_domestic_savings_percent_of_GDP_t-2,FDI_net_inflows_percent_of_GDP_t-2,GDP_per_capita_constant_2015_US_t-1,Trade_percent_of_GDP_t-1,Unemployment_total_percent_of_labor_force_t-1,Agriculture_value_added_percent_of_GDP_t-1,Industry_value_added_percent_of_GDP_t-1,Urban_population_percent_t-1,Inflation_consumer_prices_annual_percent_t-1,Gross_fixed_capital_formation_percent_of_GDP_t-1,Access_to_electricity_percent_of_population_t-1,Internet_users_percent_of_population_t-1,Services_value_added_percent_of_GDP_t-1,Gross_domestic_savings_percent_of_GDP_t-1,FDI_net_inflows_percent_of_GDP_t-1,GDP_per_capita_constant_2015_US_t0,Trade_percent_of_GDP_t0,Unemployment_total_percent_of_labor_force_t0,Agriculture_value_added_percent_of_GDP_t0,Industry_value_added_percent_of_GDP_t0,Urban_population_percent_t0,Inflation_consumer_prices_annual_percent_t0,Gross_fixed_capital_formation_percent_of_GDP_t0,Access_to_electricity_percent_of_population_t0,Internet_users_percent_of_population_t0,Services_value_added_percent_of_GDP_t0,Gross_domestic_savings_percent_of_GDP_t0,FDI_net_inflows_percent_of_GDP_t0
SK,Slovak Republic,1980,1982,1980,1,-1,9,,,,,,51.7569015831325,,,,,,,,,,,,,52.435095483544,,,,,,,,,,,,,53.0975909958706,,,,,,,
SK,Slovak Republic,1982,1984,1980,-1,2,10,,,,,,53.0975909958706,,,,,,,,,,,,,53.7526128139881,,,,,,,,,,,,,54.384307189342,,,,,,,
SK,Slovak Republic,1984,1986,1980,1,0,9,,,,,,54.384307189342,,,,,,,,,,,,,54.9768203733779,,,,,,,,,,,,,55.5142986175413,,,,,,,
SK,Slovak Republic,1986,1988,1980,1,0,9,,,,,,55.5142986175413,,,,,,,,,,,,,55.9808881732776,,,,,,,,,,,,,56.3607352920324,,,,,,,
SK,Slovak Republic,1988,1990,1980,2,-1,7,,,,,,56.3607352920324,,,,,,,,,,,,,56.6379862252511,,,,,,,,61.10195039912816,56.466265712049,,,,56.7967872243793,,31.4500814057091,100.0,0.0,,19.1453880109411,0.0
SK,Slovak Republic,1990,1992,1990,2,0,10,61.10195039912816,56.466265712049,,,,56.7967872243793,,31.4500814057091,100.0,0.0,,19.1453880109411,0.0,58.56955093976512,86.7736125430284,12.1,,,56.8271887773122,,28.4297455515617,100.0,,,23.4967874943157,0.0,57.45119081279218,131.441897608458,12.185,,,56.807175465707,40.67253531967424,33.1565657189997,100.0,,,19.7399705455987,0.0
SK,Slovak Republic,1992,1994,1990,2,0,10,57.45119081279218,131.441897608458,12.185,,,56.807175465707,40.67253531967424,33.1565657189997,100.0,,,19.7399705455987,0.0,57.691446330864814,110.829226635557,12.2,,,56.7645334025874,46.85960081561721,31.7773948451887,100.0,0.128,,16.0811628001687,1.18792313045042,58.59159616533142,107.060186670689,13.654,,,56.7028303199392,42.83428266826733,28.1790818089842,100.0,0.319,,22.6720508344359,1.32110789038309
SK,Slovak Republic,1994,1996,1990,2,0,10,58.59159616533142,107.060186670689,13.654,,,56.7028303199392,42.83428266826733,28.1790818089842,100.0,0.319,,22.6720508344359,1.32110789038309,59.45334331642196,107.235188114551,13.109,2.1295687371656,27.5854806616251,56.6251654840935,40.63532013133804,26.5113642258876,100.0,0.523,57.0516299985665,23.4568922658534,0.901958666155064,60.36971821833569,110.817704215698,11.341,2.14604807961432,28.3878947271665,56.5346381613813,37.008603826057104,33.5259973488921,100.0,0.783,57.1545326407605,21.4837817073194,1.24416214588997
SK,Slovak Republic,1996,1998,1990,2,0,10,60.36971821833569,110.817704215698,11.341,2.14604807961432,28.3878947271665,56.5346381613813,37.008603826057104,33.5259973488921,100.0,0.783,57.1545326407605,21.4837817073194,1.24416214588997,61.19459281014152,117.288133745109,11.894,1.94135888286546,26.995090903602,56.4343476181338,37.414733181082426,35.7095364907817,100.0,1.17,59.0537793792889,25.1620219888525,0.634617099552093,61.77382702743866,101.906217751394,12.421,2.00526337552562,27.9957420084661,56.3273931206821,37.96075193254016,37.4903361475626,100.0,2.69,58.0930201869462,24.1089401849518,2.15708525378881
SK,Slovak Republic,1998,2000,1990,2,0,10,61.77382702743866,101.906217751394,12.421,2.00526337552562,27.9957420084661,56.3273931206821,37.96075193254016,37.4903361475626,100.0,2.69,58.0930201869462,24.1089401849518,2.15708525378881,61.68160696084196,97.530252180251,16.099,1.5193958678326,28.3721619272376,56.2168739353574,41.13775190618302,31.4454436087114,100.0,5.44,58.565360841229,25.2607906805224,1.11126764546532,61.829031465742936,108.939262958746,18.546,1.58662671347368,29.5100486010771,56.1058893284907,42.05792433425184,26.9076819797917,100.0,9.4268,57.225187835805,25.4865932505406,7.47241104252041
SK,Slovak Republic,2000,2002,2000,2,0,10,61.829031465742936,108.939262958746,18.546,1.58662671347368,29.5100486010771,56.1058893284907,42.05792433425184,26.9076819797917,100.0,9.4268,57.225187835805,25.4865932505406,7.47241104252041,62.319571437119535,121.931131222912,19.148,1.9852549303455,29.9245857999101,55.9968426739371,38.601766151565045,29.7492996540798,100.0,12.5283,57.5097503938808,24.0429946578183,4.987799111524,63.01690819721889,120.599168045888,18.541,1.9090155227557,29.3177460076999,55.8776140379959,33.18284428608756,28.4571029898706,100.0,40.14,58.1907777604399,24.4726237065175,11.9523274609308
SK,Slovak Republic,2002,2004,2000,2,0,10,63.01690819721889,120.599168045888,18.541,1.9090155227557,29.3177460076999,55.8776140379959,33.18284428608756,28.4571029898706,100.0,40.14,58.1907777604399,24.4726237065175,11.9523274609308,63.786147679047644,125.998506220804,17.549,1.67051880193861,30.7779711731675,55.7386007222942,39.66016641687207,25.3106835058969,100.0,43.04,56.3942388071508,26.0577672271736,2.07910892962607,64.62919928819703,140.222460021585,18.206,1.50647353218952,32.1708840398951,55.5843833415875,38.80192259221671,24.721622234297,100.0,52.89,54.8778447629321,26.0618666632577,7.10209742938173
SK,Slovak Republic,2004,2006,2000,2,0,10,64.62919928819703,140.222460021585,18.206,1.50647353218952,32.1708840398951,55.5843833415875,38.80192259221671,24.721622234297,100.0,52.89,54.8778447629321,26.0618666632577,7.10209742938173,65.63285412382236,148.705461161746,16.276,1.47125970663954,32.0563158138445,55.4189847597721,32.3587001421465,27.0979138790485,99.9,55.19,54.8097720625407,27.1309694808821,6.27282057947455,66.99990172545046,164.992205726236,13.395,1.69161295680886,34.2253304669146,55.2464278407442,35.37537293165355,26.3756839954384,99.9,56.08,53.6189033144475,26.8347085115528,8.05836126241016
SK,Slovak Republic,2006,2008,2000,5,1,3,66.99990172545046,164.992205726236,13.395,1.69161295680886,34.2253304669146,55.2464278407442,35.37537293165355,26.3756839954384,99.9,56.08,53.6189033144475,26.8347085115528,8.05836126241016,68.63865118781553,166.580025216882,11.16,2.13456038332977,33.4007648001191,55.0707354484001,32.457180915930444,26.2297796014925,100.0,61.8,54.0259934795585,29.1758189222717,5.84174372278854,69.46076016228413,162.464472991641,9.514,2.36047432017713,32.9163890677556,54.895930446636,35.53533020340099,25.6301340300419,100.0,66.05,54.837861450192,27.2373917947706,4.60268632841724
SK,Slovak Republic,2008,2010,2000,5,1,3,69.46076016228413,162.464472991641,9.514,2.36047432017713,32.9163890677556,54.895930446636,35.53533020340099,25.6301340300419,100.0,66.05,54.837861450192,27.2373917947706,4.60268632841724,68.53350992493627,136.714352092364,12.023,1.90942987698677,29.2871824292761,54.7260356993483,29.66185783137428,21.699930377173,100.0,70.0,59.2772889220554,20.8806362630597,1.7025214117002,69.56967996523646,155.108497681586,14.387,1.4985946805378,29.956654996582,54.5650740704331,27.424922859298213,21.8497529970948,100.0,75.71,59.1835880081695,24.4320033188837,2.32222893370545
SK,Slovak Republic,2010,2012,2010,5,1,6,69.56967996523646,155.108497681586,14.387,1.4985946805378,29.956654996582,54.5650740704331,27.424922859298213,21.8497529970948,100.0,75.71,59.1835880081695,24.4320033188837,2.32222893370545,69.95383173822093,169.178076311066,13.634,1.79373080653758,29.9295585244148,54.4167387988534,34.53772925055929,23.9414977059811,100.0,74.44,58.3282317364822,26.6214202457525,5.44765747649664,70.1756962054914,176.968958181431,13.966,1.79463304702131,30.0711048440783,54.2764528316182,34.03011429871507,21.0504458662276,100.0,76.71,59.0349975688211,26.3236714030336,1.87551069035637
