country_code,country_name,snapshot_year,time_index,decade,bmu_x,bmu_y,cluster,GDP_per_capita_constant_2015_US_t-2,Trade_percent_of_GDP_t-2,Unemployment_total_percent_of_labor_force_t-2,Agriculture_value_added_percent_of_GDP_t-2,Industry_value_added_percent_of_GDP_t-2,Urban_population_percent_t-2,Inflation_consumer_prices_annual_percent_t-2,Gross_fixed_capital_formation_percent_of_GDP_t-2,Access_to_electricity_percent_of_population_t-2,Internet_users_percent_of_population_t-2,Services_value_added_percent_of_GDP_t-2,Gross_domestic_savings_percent_of_GDP_t-2,FDI_net_inflows_percent_of_GDP_t-2,GDP_per_capita_constant_2015_US_t-1,Trade_percent_of_GDP_t-1,Unemployment_total_percent_of_labor_force_t-1,Agriculture_value_added_percent_of_GDP_t-1,Industry_value_added_percent_of_GDP_t-1,Urban_population_percent_t-1,Inflation_consumer_prices_annual_percent_t-1,Gross_fixed_capital_formation_percent_of_GDP_t-1,Access_to_electricity_percent_of_population_t-1,Internet_users_percent_of_population_t-1,Services_value_added_percent_of_GDP_t-1,Gross_domestic_savings_percent_of_GDP_t-1,FDI_net_inflows_percent_of_GDP_t-1,GDP_per_capita_constant_2015_US_t0,Trade_percent_of_GDP_t0,Unemployment_total_percent_of_labor_force_t0,Agriculture_value_added_percent_of_GDP_t0,Industry_value_added_percent_of_GDP_t0,Urban_population_percent_t0,Inflation_consumer_prices_annual_percent_t0,Gross_fixed_capital_formation_percent_of_GDP_t0,Access_to_electricity_percent_of_population_t0,Internet_users_percent_of_population_t0,Services_value_added_percent_of_GDP_t0,Gross_domestic_savings_percent_of_GDP_t0,FDI_net_inflows_percent_of_GDP_t0
SM,San Marino,1980,1982,1980,-1,2,9,,,,,,81.5848042163697,,,,,,,,,,,,,83.5552071230606,,,,,,,,,,,,,85.3955828175001,,,,,,,
SM,San Marino,1982,1984,1980,-2,4,9,,,,,,85.3955828175001,,,,,,,,,,,,,87.0428452434531,,,,,,,,,,,,,88.4339083446843,,,,,,,
SM,San Marino,1984,1986,1980,-2,4,9,,,,,,88.4339083446843,,,,,,,,,,,,,89.5056860649585,,,,,,,,,,,,,90.1950923480406,,,,,,,
SM,San Marino,1986,1988,1980,-2,4,9,,,,,,90.1950923480406,,,,,,,,,,,,,90.4390411376953,,,,,,,,,,,,,90.4391632080078,,,,,,,
SM,San Marino,1988,1990,1980,0,6,7,,,,,,90.4391632080078,,,,,,,,,,,,,90.4419860839844,,,,,,,,,,,,,90.5081313103143,,,100.0,0.0,,,
SM,San Marino,1990,1992,1990,0,6,7,,,,,,90.5081313103143,,,100.0,0.0,,,,,,,,,90.6839471071196,,,100.0,,,,,,,,,,90.9486426338301,,,100.0,,,,
SM,San Marino,1992,1994,1990,-3,3,10,,,,,,90.9486426338301,,,100.0,,,,,,,,,,91.2814270498757,,,100.0,,,,,,,,,,91.6615095146862,,,100.0,,,,
SM,San Marino,1994,1996,1990,0,6,7,,,,,,91.6615095146862,,,100.0,,,,,,,,,,92.0680991876912,,,100.0,1.36,,,,,,,,,92.4804052283208,,,100.0,1.43,,,
SM,San Marino,1996,1998,1990,-3,3,10,,,,,,92.4804052283208,,,100.0,1.43,,,,48409.5476837524,,,,,92.8776367960046,,,100.0,1.42,,,,51376.4362163713,,,,,93.2390030501725,,,100.0,1.41,,,
SM,San Marino,1998,2000,1990,-2,2,10,51376.4362163713,,,,,93.2390030501725,,,100.0,1.41,,,,55318.4458342113,,,,,93.5437131502544,,,100.0,42.8,,,,55806.9219720449,,,,,93.7709762556799,,,100.0,48.7995,,,
SM,San Marino,2000,2002,2000,-2,-1,11,55806.9219720449,,,,,93.7709762556799,,,100.0,48.7995,,,,58173.2936031775,,,,,93.9000015258789,,,100.0,50.3417,,,,57615.4100635074,,,,,93.9488167294543,,,100.0,50.8348,,,
SM,San Marino,2002,2004,2000,-2,-1,11,57615.4100635074,,,,,93.9488167294543,,,100.0,50.8348,,,,59090.2331058555,,,,,94.0,,,100.0,50.0035,,,,58393.2236678918,,,,,94.2143791763566,1.43083868527343,,100.0,50.5663,,,
SM,San Marino,2004,2006,2000,-2,-1,11,58393.2236678918,,,,,94.2143791763566,1.43083868527343,,100.0,50.5663,,,,59049.5774485922,,,,,94.6454896824635,1.68548890528347,,100.0,50.2596,,,,60604.3508911242,,,,,95.2084276028853,2.09525935611432,,100.0,50.2087,,,
SM,San Marino,2006,2008,2000,-2,-2,11,60604.3508911242,,,,,95.2084276028853,2.09525935611432,,100.0,50.2087,,,,62776.9461598748,,,,,95.8182890221867,2.49894575725803,,100.0,50.3648,,,,61572.7435735639,,,,,96.3901700249324,4.29320249287704,,100.0,54.52,,,
SM,San Marino,2008,2010,2000,-2,1,10,61572.7435735639,,,,,96.3901700249324,4.29320249287704,,100.0,54.52,,,,52873.2681862909,,,,,96.8391666956869,2.19959237046011,,100.0,54.21,,,,49672.6977770842,,,,,97.074615769187,2.58541815582587,,100.0,,,,
SM,San Marino,2010,2012,2010,-2,-3,9,49672.6977770842,,,,,97.074615769187,2.58541815582587,,100.0,,,,,46450.0251706982,,,,,97.0999984741211,2.89979584300123,,100.0,49.6,,,,42082.5554467713,,,,,97.0999984741211,2.8273322422258,,100.0,,,,
SM,San Marino,2012,2014,2010,-2,3,9,42082.5554467713,,,,,97.0999984741211,2.8273322422258,,100.0,,,,,42293.4870685544,,,,,97.0999984741211,1.60439298078082,,100.0,,,,,42492.8509160139,,,,,97.0999984741211,1.11296303373851,,100.0,,,,
SM,San Marino,2014,2016,2010,-2,3,9,42492.8509160139,,,,,97.0999984741211,1.11296303373851,,100.0,,,,,43146.8240435428,321.364013420909,,0.0200541096861857,32.0241661542694,97.0999984741211,0.145686073241066,17.300801197096,100.0,,59.2769211436221,39.6275525418544,,43886.2146896896,320.146089060708,,0.0136238729961193,32.4071649556587,97.0999984741211,0.644075340346552,19.0242502909688,100.0,,59.4484867145015,41.7594473140125,
SM,San Marino,2016,2018,2010,-2,-3,9,43886.2146896896,320.146089060708,,0.0136238729961193,32.4071649556587,97.0999984741211,0.644075340346552,19.0242502909688,100.0,,59.4484867145015,41.7594473140125,,43057.7784775102,313.85032377067,,0.0204788600977845,32.4530315404968,97.0999984741211,1.01413313194508,20.3554772829686,100.0,60.1823,59.9107015944061,42.8263926552653,,42818.6962696679,309.487956436918,,0.016406698271998,36.2169203250722,97.0999984741211,1.16333522293158,20.3410542435634,100.0,,56.3358162936745,44.3162256024617,
SM,San Marino,2018,2020,2010,-2,-3,9,42818.6962696679,309.487956436918,,0.016406698271998,36.2169203250722,97.0999984741211,1.16333522293158,20.3410542435634,100.0,,56.3358162936745,44.3162256024617,,43525.4225717352,307.264778080283,,0.0152774759329299,34.7786569469683,97.0999984741211,0.472651967352852,23.4772773995299,100.0,67.8507,58.0891290335199,44.7541733995705,,40506.8521137898,304.903167579063,,0.0141009168983556,35.6149220680825,97.0999984741211,-0.133368898372915,18.9617274954335,100.0,77.95,57.9141659016669,42.1050894843255,
SM,San Marino,2020,2022,2020,-1,0,9,40506.8521137898,304.903167579063,,0.0141009168983556,35.6149220680825,97.0999984741211,-0.133368898372915,18.9617274954335,100.0,77.95,57.9141659016669,42.1050894843255,,46834.1395065822,342.470174007962,,0.0166253927819304,36.6355581618435,97.1035668453272,1.61551411551421,17.5169800796756,100.0,81.67,56.5054115918543,48.3933370605279,6.75333409502216,51277.3460993917,370.436071813414,,0.0114889167333267,37.5952017777331,97.1141889380465,5.32545321311365,17.7937445026298,100.0,85.0607,55.0819768141029,47.4145883639026,3.92890134686182
