country_code,country_name,snapshot_year,time_index,decade,bmu_x,bmu_y,cluster,GDP_per_capita_constant_2015_US_t-2,Trade_percent_of_GDP_t-2,Unemployment_total_percent_of_labor_force_t-2,Agriculture_value_added_percent_of_GDP_t-2,Industry_value_added_percent_of_GDP_t-2,Urban_population_percent_t-2,Inflation_consumer_prices_annual_percent_t-2,Gross_fixed_capital_formation_percent_of_GDP_t-2,Access_to_electricity_percent_of_population_t-2,Internet_users_percent_of_population_t-2,Services_value_added_percent_of_GDP_t-2,Gross_domestic_savings_percent_of_GDP_t-2,FDI_net_inflows_percent_of_GDP_t-2,GDP_per_capita_constant_2015_US_t-1,Trade_percent_of_GDP_t-1,Unemployment_total_percent_of_labor_force_t-1,Agriculture_value_added_percent_of_GDP_t-1,Industry_value_added_percent_of_GDP_t-1,Urban_population_percent_t-1,Inflation_consumer_prices_annual_percent_t-1,Gross_fixed_capital_formation_percent_of_GDP_t-1,Access_to_electricity_percent_of_population_t-1,Internet_users_percent_of_population_t-1,Services_value_added_percent_of_GDP_t-1,Gross_domestic_savings_percent_of_GDP_t-1,FDI_net_inflows_percent_of_GDP_t-1,GDP_per_capita_constant_2015_US_t0,Trade_percent_of_GDP_t0,Unemployment_total_percent_of_labor_force_t0,Agriculture_value_added_percent_of_GDP_t0,Industry_value_added_percent_of_GDP_t0,Urban_population_percent_t0,Inflation_consumer_prices_annual_percent_t0,Gross_fixed_capital_formation_percent_of_GDP_t0,Access_to_electricity_percent_of_population_t0,Internet_users_percent_of_population_t0,Services_value_added_percent_of_GDP_t0,Gross_domestic_savings_percent_of_GDP_t0,FDI_net_inflows_percent_of_GDP_t0
SO,"Somalia, Fed. Rep.",1980,1982,1980,4,-3,1,239.47024347351,121.884562874113,,64.4772486015801,7.52551719047344,26.847903719953,,43.1578237010553,,,,-13.1076587509371,-0.0049791246179574,252.485050366421,93.1673952847298,,62.7539011969532,7.05023605368154,27.0652498344932,,23.1229562568009,,,,-15.9593738121146,0.0157299601015597,258.564156472592,93.9988329360036,,62.9487142042527,7.52979973206005,27.2798889325803,,25.0695573769366,,,,-12.7786415306929,-0.0981178248771942
SO,"Somalia, Fed. Rep.",1982,1984,1980,4,-3,1,258.564156472592,93.9988329360036,,62.9487142042527,7.52979973206005,27.2798889325803,,25.0695573769366,,,,-12.7786415306929,-0.0981178248771942,221.453992833647,96.1143266019528,,60.7105227931339,6.80064885422301,27.4971787520367,,26.2916700389991,,,,-26.3770435139059,-1.11910569614848,220.505292974977,75.7521752590237,,65.2048880792893,6.98279570141198,27.7224770306845,,22.7860503686569,,,,-22.4262311278171,-1.89730056382825
SO,"Somalia, Fed. Rep.",1984,1986,1980,4,-3,1,220.505292974977,75.7521752590237,,65.2048880792893,6.98279570141198,27.7224770306845,,22.7860503686569,,,,-22.4262311278171,-1.89730056382825,231.96066199892,25.6575787375415,,63.6762498888762,7.32729892542101,27.9611415063462,,27.0219956833543,,,,16.7568920517814,-0.0810777866880513,217.822044975268,36.9028626194425,,59.5196273612783,9.65642836480582,28.2185299168439,,24.5620013705896,,,,1.31199719652133,0.333845817091959
SO,"Somalia, Fed. Rep.",1986,1988,1980,4,-3,1,217.822044975268,36.9028626194425,,59.5196273612783,9.65642836480582,28.2185299168439,,24.5620013705896,,,,1.31199719652133,0.333845817091959,231.385120661851,37.5640309796708,,60.8167080444319,,28.5,,28.2440630536295,,,,9.5986660240083,6.31420274987029,239.054073867161,26.6656393004625,,65.8636060346692,,28.7969438370269,,19.1543927264448,,,,7.72011026663834,-4.12610547161171
SO,"Somalia, Fed. Rep.",1988,1990,1980,4,-3,1,239.054073867161,26.6656393004625,,65.8636060346692,,28.7969438370269,,19.1543927264448,,,,7.72011026663834,-4.12610547161171,252.360849486709,48.6201733615383,,56.1841819380893,,29.098054289527,,27.5557654203325,,,,1.13777893231684,-3.48411749985575,259.400021870078,42.2633324699489,,55.7941831843125,,29.4046402659076,,13.2494756509618,,0.0,,0.0022488094479869,0.542043743616222
SO,"Somalia, Fed. Rep.",1990,1992,1990,4,-3,1,259.400021870078,42.2633324699489,,55.7941831843125,,29.4046402659076,,13.2494756509618,,0.0,,0.0022488094479869,0.542043743616222,277.598802350408,,19.003,,,29.7180106745758,,,,,,,-0.0208920943868446,266.498410042902,,19.377,,,30.0394744239389,,,,,,,-0.0084590730066901
SO,"Somalia, Fed. Rep.",1992,1994,1990,4,-3,1,266.498410042902,,19.377,,,30.0394744239389,,,,,,,-0.0084590730066901,269.406204622588,,19.331,,,30.3703404224041,,,,,,,0.158713411217009,210.446194601775,,19.971,,,30.7119175783784,,,,,,,0.0675125950729571
SO,"Somalia, Fed. Rep.",1994,1996,1990,4,-3,1,210.446194601775,,19.971,,,30.7119175783784,,,,,,,0.0675125950729571,211.087530841637,,19.585,,,31.0655148002693,,,,0.0,,,0.0651569312862244,219.936381873579,,19.463,,,31.4324409964838,,,,0.00151,,,0.0725351591525596
SO,"Somalia, Fed. Rep.",1996,1998,1990,4,-3,1,219.936381873579,,19.463,,,31.4324409964838,,,,0.00151,,,0.0725351591525596,214.852351289061,,18.899,,,31.8140050754292,,,,0.00295,,,0.0501882283593522,219.712160749346,,18.825,,,32.2115159455126,,,,0.00716,,,0.0013504172073576
SO,"Somalia, Fed. Rep.",1998,2000,1990,4,-3,1,219.712160749346,,18.825,,,32.2115159455126,,,,0.00716,,,0.0013504172073576,226.444111028735,,18.847,,,32.6262825151413,,,,0.0139,,,-0.0265944215292669,233.032393086265,,18.678,,,33.0596136927225,,,2.1,0.02,,,0.0079113983158915
SO,"Somalia, Fed. Rep.",2000,2002,2000,4,-3,1,233.032393086265,,18.678,,,33.0596136927225,,,2.1,0.02,,,0.0079113983158915,239.83907408804,,18.665,,,33.5128183866634,,,4.7,0.0790392,,,0.0017755307728112,248.636454000766,,18.658,,,33.9872055053711,,,7.4,0.115614,,,0.0063848685632052
SO,"Somalia, Fed. Rep.",2002,2004,2000,4,-3,1,248.636454000766,,18.658,,,33.9872055053711,,,7.4,0.115614,,,0.0063848685632052,257.910337235986,,18.648,,,34.4719665654476,,,9.8,0.376198,,,-0.0299641380218025,266.257271856641,,18.653,,,34.9620706047618,,,12.4,1.05345,,,-0.124106356083442
SO,"Somalia, Fed. Rep.",2004,2006,2000,4,-3,1,266.257271856641,,18.653,,,34.9620706047618,,,12.4,1.05345,,,-0.124106356083442,275.457040798093,,18.671,,,35.4674928136211,,,15.0,1.07733,,,0.51246502261239,284.470789865234,,18.705,,,35.9982083823331,,,15.2,1.10022,,,1.90978521507055
SO,"Somalia, Fed. Rep.",2006,2008,2000,4,-3,1,284.470789865234,,18.705,,,35.9982083823331,,,15.2,1.10022,,,1.90978521507055,294.210404466634,,18.687,,,36.5641925012053,,,20.2,1.12224,,,2.5963438148083,304.741448811117,,18.714,,,37.1754203605454,,,22.9,1.14269,,,1.47118001648448
SO,"Somalia, Fed. Rep.",2008,2010,2000,4,-3,1,304.741448811117,,18.714,,,37.1754203605454,,,22.9,1.14269,,,1.47118001648448,317.03818481457,,18.724,,,37.8418671506609,,,25.5,1.16061,,,3.66276197282804,329.970504936941,,18.741,,,38.5735080618592,,,52.3,,,,4.16696585149836
