country_code,country_name,snapshot_year,time_index,decade,bmu_x,bmu_y,cluster,GDP_per_capita_constant_2015_US_t-2,Trade_percent_of_GDP_t-2,Unemployment_total_percent_of_labor_force_t-2,Agriculture_value_added_percent_of_GDP_t-2,Industry_value_added_percent_of_GDP_t-2,Urban_population_percent_t-2,Inflation_consumer_prices_annual_percent_t-2,Gross_fixed_capital_formation_percent_of_GDP_t-2,Access_to_electricity_percent_of_population_t-2,Internet_users_percent_of_population_t-2,Services_value_added_percent_of_GDP_t-2,Gross_domestic_savings_percent_of_GDP_t-2,FDI_net_inflows_percent_of_GDP_t-2,GDP_per_capita_constant_2015_US_t-1,Trade_percent_of_GDP_t-1,Unemployment_total_percent_of_labor_force_t-1,Agriculture_value_added_percent_of_GDP_t-1,Industry_value_added_percent_of_GDP_t-1,Urban_population_percent_t-1,Inflation_consumer_prices_annual_percent_t-1,Gross_fixed_capital_formation_percent_of_GDP_t-1,Access_to_electricity_percent_of_population_t-1,Internet_users_percent_of_population_t-1,Services_value_added_percent_of_GDP_t-1,Gross_domestic_savings_percent_of_GDP_t-1,FDI_net_inflows_percent_of_GDP_t-1,GDP_per_capita_constant_2015_US_t0,Trade_percent_of_GDP_t0,Unemployment_total_percent_of_labor_force_t0,Agriculture_value_added_percent_of_GDP_t0,Industry_value_added_percent_of_GDP_t0,Urban_population_percent_t0,Inflation_consumer_prices_annual_percent_t0,Gross_fixed_capital_formation_percent_of_GDP_t0,Access_to_electricity_percent_of_population_t0,Internet_users_percent_of_population_t0,Services_value_added_percent_of_GDP_t0,Gross_domestic_savings_percent_of_GDP_t0,FDI_net_inflows_percent_of_GDP_t0
SR,Suriname,1980,1982,1980,4,4,3,7110.25141539986,,,7.73584905660377,32.8301886792453,66.059971693569,14.1097064496918,,,,48.3647798742138,,2.27672955974843,7613.41613760027,,,7.8740157480315,32.3397075365579,66.0798437008332,8.79396984924597,,,,49.8875140607424,,6.94038245219348,7272.42377342797,,,7.86885245901639,29.4535519125683,66.10341128094,7.27640861779861,,,,54.4262295081967,,-1.21311475409836
SR,Suriname,1982,1984,1980,1,-3,1,7272.42377342797,,,7.86885245901639,29.4535519125683,66.10341128094,7.27640861779861,,,,54.4262295081967,,-1.21311475409836,6948.36988386005,,,7.18732314657612,27.3910582908885,66.1302730823181,4.41180807455269,,,,56.9326542161856,,9.22467458970006,6754.87416435162,,,7.75462962962963,28.0671296296296,66.1600272294813,3.68874452760907,,,,56.0763888888889,,-8.20601851851852
SR,Suriname,1984,1986,1980,1,-3,1,6754.87416435162,,,7.75462962962963,28.0671296296296,66.1600272294813,3.68874452760907,,,,56.0763888888889,,-8.20601851851852,6804.88235329589,,,8.1901489117984,27.0332187857961,66.1922718469436,10.8659529841192,,,,59.5647193585338,,2.43986254295533,6765.64454752431,,,9.31537598204265,25.9820426487093,66.2266050592188,18.6879606879605,,,,62.9068462401796,,-6.7789001010101
SR,Suriname,1986,1988,1980,1,-3,1,6765.64454752431,,,9.31537598204265,25.9820426487093,66.2266050592188,18.6879606879605,,,,62.9068462401796,,-6.7789001010101,6272.92938552246,,,10.4081632653061,23.3163265306122,66.2626249908206,53.3929532563242,,,,66.0204081632653,,-13.2244897857143,6672.84558173621,,,10.077519379845,25.968992248062,66.2999297662631,7.31328780803817,,,,63.8673557278208,,-14.7286821705426
SR,Suriname,1988,1990,1980,1,-3,1,6672.84558173621,,,10.077519379845,25.968992248062,66.2999297662631,7.31328780803817,,,,63.8673557278208,,-14.7286821705426,6847.85742586796,,,8.99373387394029,25.1750829340214,66.33811751006,0.769646742205996,,,,65.2414301511242,,-55.234058219683,6474.95571162121,,,8.08444902162719,22.4768280123584,66.3767863467252,21.7399443397526,,,0.0,50.8496395468589,,-19.773429454171
SR,Suriname,1990,1992,1990,1,-3,1,6474.95571162121,,,8.08444902162719,22.4768280123584,66.3767863467252,21.7399443397526,,,0.0,50.8496395468589,,-19.773429454171,6609.4013410012,,17.189,8.81499665253292,18.0763222494979,66.4155344007725,25.9674625060223,,,,54.1843338540504,,4.12854273599643,6594.9041494915,,17.28,11.1550502553963,16.7902455099687,66.4539597967158,43.6661783854171,,,,52.6445872466634,,-13.4206623826001
SR,Suriname,1992,1994,1990,2,-4,1,6594.9041494915,,17.28,11.1550502553963,16.7902455099687,66.4539597967158,43.6661783854171,,,,52.6445872466634,,-13.4206623826001,6127.17764098658,,15.64,18.8777610097407,16.1407600493895,66.491660659069,143.51155848349,,,,49.5815612566882,,-10.8684318836603,6290.15749631679,,12.7,16.3219779136265,27.3035397357523,66.5282351123459,368.478068706267,,,,36.5448136462236,,-4.98767501478998
SR,Suriname,1994,1996,1990,2,-4,1,6290.15749631679,,12.7,16.3219779136265,27.3035397357523,66.5282351123459,368.478068706267,,,,36.5448136462236,,-4.98767501478998,6184.2834422862,,8.39,13.9863845879555,29.2243925897089,66.5632812810604,235.558815073605,,,0.115,33.1637676939836,,-2.97864127216757,6114.83571706509,,10.88,14.7834847405812,26.2603278270889,66.5963972897263,-0.701887251452818,,,0.226,36.5473357535333,,2.21739064227939
SR,Suriname,1996,1998,1990,4,3,1,6114.83571706509,,10.88,14.7834847405812,26.2603278270889,66.5963972897263,-0.701887251452818,,,0.226,36.5473357535333,,2.21739064227939,6330.13718248353,,10.56,11.7017343598628,27.1663306968473,66.6271812628574,7.14511160883929,,,1.0,42.7704422118418,,-0.993067417943757,6343.51344766536,,10.63,8.38727100868704,21.1583472115947,66.6552313249677,18.9753691994478,,,1.67,46.7133276319935,,0.819192510239906
SR,Suriname,1998,2000,1990,2,-4,1,6343.51344766536,,10.63,8.38727100868704,21.1583472115947,66.6552313249677,18.9753691994478,,,1.67,46.7133276319935,,0.819192510239906,6127.31035739875,,13.6,8.44662232193228,21.8868815680718,66.680145600571,98.7730914112164,,99.62406,1.89,46.5576415948361,,-6.93903255008462,6128.31602380553,,12.873,9.5392456953923,24.8905012043069,66.7015222141811,59.401686545079,,95.4,2.50641,46.0100389551109,,-10.2567136211785
SR,Suriname,2000,2002,2000,2,-4,1,6128.31602380553,,12.873,9.5392456953923,24.8905012043069,66.7015222141811,59.401686545079,,95.4,2.50641,46.0100389551109,,-10.2567136211785,6255.55274185687,,12.047,9.09486789950564,24.7682310008803,66.718959290312,38.5862878872611,,95.3,3.06445,42.4750471345649,,-3.21235324229173,6301.31731043167,,11.187,6.70477450484455,28.6630219074672,66.7320549534773,15.5273989185702,,95.2,4.16157,43.7822872485311,,-6.73022296587416
SR,Suriname,2002,2004,2000,1,-3,1,6301.31731043167,,11.187,6.70477450484455,28.6630219074672,66.7320549534773,15.5273989185702,,95.2,4.16157,43.7822872485311,,-6.73022296587416,6567.84309876847,,10.336,6.47972387648306,26.7990256381011,66.7404073281911,23.0022321778219,,95.1,4.71988,43.0196830638389,,-5.97242023566089,7021.98919924338,,9.49,5.22488058560067,31.0288898927889,66.743604713168,9.98632511974878,,95.0,6.07605,41.429359737711,,-2.51332036478539
SR,Suriname,2004,2006,2000,4,4,3,7021.98919924338,,9.49,5.22488058560067,31.0288898927889,66.743604713168,9.98632511974878,,95.0,6.07605,41.429359737711,,-2.51332036478539,7261.8171350196,,9.302,4.91937130026536,33.8436415595019,66.7321826490881,9.89800489561465,,94.9,6.40309,41.3553786487038,,1.56127119820371,7599.35696921481,98.1681931723564,9.142,9.99167360532889,36.9830696641688,66.6967982269052,11.2813043273975,38.0238689980572,91.0,9.49963,45.4066056064391,47.5020815986678,-6.22149014709964
SR,Suriname,2006,2008,2000,4,4,3,7599.35696921481,98.1681931723564,9.142,9.99167360532889,36.9830696641688,66.6967982269052,11.2813043273975,38.0238689980572,91.0,9.49963,45.4066056064391,47.5020815986678,-6.22149014709964,7897.25648915828,101.377000372162,9.017,10.1476243642228,37.0673613695571,66.6433180134835,6.42627934470524,42.3024438655254,94.7,14.11,44.7463093908944,53.0579332589009,-8.40083736509118,8129.11464659446,109.166838523407,8.854,8.92967622190142,40.0701175500103,66.5776961831642,14.6671427437912,45.4629820581563,94.7,21.06,44.1534336976696,48.9585481542586,-6.54973190348526
SR,Suriname,2008,2010,2000,3,3,3,8129.11464659446,109.166838523407,8.854,8.92967622190142,40.0701175500103,66.5776961831642,14.6671427437912,45.4629820581563,94.7,21.06,44.1534336976696,48.9585481542586,-6.54973190348526,8276.69079768793,87.9206617785298,8.72,9.84207557811619,34.2921601804851,66.5058869102882,-0.133636646714877,47.076518142508,94.6,31.36,47.7063357774018,50.0940026320737,-2.41006768189509,8603.90786745855,90.9613941465855,7.15,9.47219211206537,35.1705161344117,66.4338443691967,6.94108221639996,37.5385641624281,91.2,31.59,48.2448094721921,50.7462686567164,-5.85344056449596
SR,Suriname,2010,2012,2010,3,2,3,8603.90786745855,90.9613941465855,7.15,9.47219211206537,35.1705161344117,66.4338443691967,6.94108221639996,37.5385641624281,91.2,31.59,48.2448094721921,50.7462686567164,-5.85344056449596,9003.28597674886,,7.54,8.73235538333795,35.1093274287296,66.3675227342307,17.7117796414558,,94.6,32.0,46.9969554386936,,3.28538383339053,9140.92898611536,,8.1,8.38505537300718,35.2622611658756,66.3132562693376,5.00686319367273,,94.6,34.6812,47.6572958500669,,3.40245351551791
SR,Suriname,2012,2014,2010,1,-4,3,9140.92898611536,,8.1,8.38505537300718,35.2622611658756,66.3132562693376,5.00686319367273,,94.6,34.6812,47.6572958500669,,3.40245351551791,9303.46008775809,,6.6,8.48595489076026,32.2536953065191,66.2683575134509,1.92343604108305,,94.6,37.4,50.7802838466521,,3.62949532348678,9224.24378410547,,6.94,9.38475771944027,30.2474846767665,66.2249266178037,3.38341272749477,,94.6,40.08,52.2608997340118,,-1.13866864622319
SR,Suriname,2014,2016,2010,1,-5,3,9224.24378410547,,6.94,9.38475771944027,30.2474846767665,66.2249266178037,3.38341272749477,,94.6,40.08,52.2608997340118,,-1.13866864622319,8813.61705392067,,7.22,10.4081572411936,27.2599156580204,66.1828815074718,6.89390359168238,,95.0,42.7638,54.4967591981728,,3.5828587235507,8293.31553031406,,7.917,10.7661271900991,26.7553600175618,66.1426466980469,55.4123879763196,,95.8,45.4,57.0833584990983,,6.9833403838341
SR,Suriname,2016,2018,2010,3,3,3,8293.31553031406,,7.917,10.7661271900991,26.7553600175618,66.1426466980469,55.4123879763196,,95.8,45.4,57.0833584990983,,6.9833403838341,8338.69235401862,,7.905,10.9177598208742,38.273693894809,66.1046467051207,21.9969430173304,,96.6,48.9452,48.185963793629,,2.67494793416759,8666.64870697797,,7.817,10.0324669859288,36.7622415479102,66.0693060442846,,,97.4,55.1,50.8308432543601,,3.27713336345246
SR,Suriname,2018,2020,2010,1,-5,3,8666.64870697797,,7.817,10.0324669859288,36.7622415479102,66.0693060442846,,,97.4,55.1,50.8308432543601,,3.27713336345246,8677.30522021731,,7.755,8.59607814021171,33.8807670142731,66.0370492311305,,,97.9,62.0,55.3767659072638,,2.09560541663346,7213.10766669943,,8.973,8.1360284150591,36.5606718418582,66.00830078125,34.889784309078,,98.4,69.8369,51.8877061563009,,0.0357132024302943
SR,Suriname,2020,2022,2020,1,-3,1,7213.10766669943,,8.973,8.1360284150591,36.5606718418582,66.00830078125,34.889784309078,,98.4,69.8369,51.8877061563009,,0.0357132024302943,6973.89941868115,,8.706,9.67766403232661,37.7088537439931,65.9853973388672,59.1196626251977,,98.8,76.572,50.3802826726457,,-4.26991302669251,7081.33357325783,,7.973,7.29566179490095,42.2305173267347,65.8985443115234,52.446027276241,,99.0,77.6494,48.0663465403299,,-0.245419018781694
