country_code,country_name,snapshot_year,time_index,decade,bmu_x,bmu_y,cluster,GDP_per_capita_constant_2015_US_t-2,Trade_percent_of_GDP_t-2,Unemployment_total_percent_of_labor_force_t-2,Agriculture_value_added_percent_of_GDP_t-2,Industry_value_added_percent_of_GDP_t-2,Urban_population_percent_t-2,Inflation_consumer_prices_annual_percent_t-2,Gross_fixed_capital_formation_percent_of_GDP_t-2,Access_to_electricity_percent_of_population_t-2,Internet_users_percent_of_population_t-2,Services_value_added_percent_of_GDP_t-2,Gross_domestic_savings_percent_of_GDP_t-2,FDI_net_inflows_percent_of_GDP_t-2,GDP_per_capita_constant_2015_US_t-1,Trade_percent_of_GDP_t-1,Unemployment_total_percent_of_labor_force_t-1,Agriculture_value_added_percent_of_GDP_t-1,Industry_value_added_percent_of_GDP_t-1,Urban_population_percent_t-1,Inflation_consumer_prices_annual_percent_t-1,Gross_fixed_capital_formation_percent_of_GDP_t-1,Access_to_electricity_percent_of_population_t-1,Internet_users_percent_of_population_t-1,Services_value_added_percent_of_GDP_t-1,Gross_domestic_savings_percent_of_GDP_t-1,FDI_net_inflows_percent_of_GDP_t-1,GDP_per_capita_constant_2015_US_t0,Trade_percent_of_GDP_t0,Unemployment_total_percent_of_labor_force_t0,Agriculture_value_added_percent_of_GDP_t0,Industry_value_added_percent_of_GDP_t0,Urban_population_percent_t0,Inflation_consumer_prices_annual_percent_t0,Gross_fixed_capital_formation_percent_of_GDP_t0,Access_to_electricity_percent_of_population_t0,Internet_users_percent_of_population_t0,Services_value_added_percent_of_GDP_t0,Gross_domestic_savings_percent_of_GDP_t0,FDI_net_inflows_percent_of_GDP_t0
ST,Sao Tome and Principe,1980,1982,1980,3,-3,1,1405.76061531863,,,,,33.3439263162786,,,,,,,0.0,1234.82085380117,,,,,33.8301919007624,,,,,,,0.0,1249.50268222753,,,,,34.4707393466422,,,,,,,0.0
ST,Sao Tome and Principe,1982,1984,1980,3,-3,1,1249.50268222753,,,,,34.4707393466422,,,,,,,0.0,1179.55626040759,,,,,35.3167652887903,,,,,,,0.0,1087.44153359985,,,,,36.3310963650518,,,,,,,0.0
ST,Sao Tome and Principe,1984,1986,1980,4,-2,1,1087.44153359985,,,,,36.3310963650518,,,,,,,0.0,1163.80724250137,,,,,37.474126843308,,,,,,,0.0,1071.36164381493,,,,,38.7062509914404,,,,,,,0.0
ST,Sao Tome and Principe,1986,1988,1980,4,-2,1,1071.36164381493,,,,,38.7062509914404,,,,,,,0.0,1014.69125831664,,,,,39.9878630773304,,,,,,,0.206980547520272,1008.24359402711,,,,,41.2793573688592,,,,,,,0.20201864221136
ST,Sao Tome and Principe,1988,1990,1980,5,-2,1,1008.24359402711,,,,,41.2793573688592,,,,,,,0.20201864221136,1013.50760361265,,,,,42.5411281339083,,,,,,,-0.0507380524323596,967.490807502814,,,,,43.7335696403591,,,,0.0,,,0.0
ST,Sao Tome and Principe,1990,1992,1990,5,-2,1,967.490807502814,,,,,43.7335696403591,,,,0.0,,,0.0,957.946483063679,,14.493,,,44.8152889990418,,,,,,,0.0,946.482495103288,,14.65,,,45.7968298871752,,,,,,,0.0
ST,Sao Tome and Principe,1992,1994,1990,5,-2,1,946.482495103288,,14.65,,,45.7968298871752,,,,,,,0.0,939.606669438019,,14.46,,,46.7288366793672,,,,,,,-0.381733332346607,943.891404294867,,14.41,,,47.625880905236,,,,,,,0.0
ST,Sao Tome and Principe,1994,1996,1990,5,-2,1,943.891404294867,,14.41,,,47.625880905236,,,,,,,0.0,947.331538535199,,14.342,,,48.5003270529522,,,,,,,0.0289309335040707,947.030151309961,,14.33,,,49.3645396106862,,,,,,,0.236707109850635
ST,Sao Tome and Principe,1996,1998,1990,5,-2,1,947.030151309961,,14.33,,,49.3645396106862,,,,,,,0.236707109850635,942.971185295678,,14.414,,,50.2308830666086,35.81717824448,,,,,,0.435159711289476,953.9855008639,,14.398,,,51.1117219088898,50.4931357486254,,,0.296,,,5.81030163317643
ST,Sao Tome and Principe,1998,2000,1990,5,-2,1,953.9855008639,,14.398,,,51.1117219088898,50.4931357486254,,,0.296,,,5.81030163317643,966.2268289095,,14.352,,,52.0194206257004,12.7251770130085,,,0.363,,,3.88087213198641,959.938180991352,,14.4,,,52.9663437052108,12.2089456308977,,52.9,4.63852,,,4.98698169293887
