country_code,country_name,snapshot_year,time_index,decade,bmu_x,bmu_y,cluster,GDP_per_capita_constant_2015_US_t-2,Trade_percent_of_GDP_t-2,Unemployment_total_percent_of_labor_force_t-2,Agriculture_value_added_percent_of_GDP_t-2,Industry_value_added_percent_of_GDP_t-2,Urban_population_percent_t-2,Inflation_consumer_prices_annual_percent_t-2,Gross_fixed_capital_formation_percent_of_GDP_t-2,Access_to_electricity_percent_of_population_t-2,Internet_users_percent_of_population_t-2,Services_value_added_percent_of_GDP_t-2,Gross_domestic_savings_percent_of_GDP_t-2,FDI_net_inflows_percent_of_GDP_t-2,GDP_per_capita_constant_2015_US_t-1,Trade_percent_of_GDP_t-1,Unemployment_total_percent_of_labor_force_t-1,Agriculture_value_added_percent_of_GDP_t-1,Industry_value_added_percent_of_GDP_t-1,Urban_population_percent_t-1,Inflation_consumer_prices_annual_percent_t-1,Gross_fixed_capital_formation_percent_of_GDP_t-1,Access_to_electricity_percent_of_population_t-1,Internet_users_percent_of_population_t-1,Services_value_added_percent_of_GDP_t-1,Gross_domestic_savings_percent_of_GDP_t-1,FDI_net_inflows_percent_of_GDP_t-1,GDP_per_capita_constant_2015_US_t0,Trade_percent_of_GDP_t0,Unemployment_total_percent_of_labor_force_t0,Agriculture_value_added_percent_of_GDP_t0,Industry_value_added_percent_of_GDP_t0,Urban_population_percent_t0,Inflation_consumer_prices_annual_percent_t0,Gross_fixed_capital_formation_percent_of_GDP_t0,Access_to_electricity_percent_of_population_t0,Internet_users_percent_of_population_t0,Services_value_added_percent_of_GDP_t0,Gross_domestic_savings_percent_of_GDP_t0,FDI_net_inflows_percent_of_GDP_t0
TC,Turks and Caicos Islands,1980,1982,1980,2,-3,1,,,,,,55.0732877799455,,,,,,,,,,,,,56.082667069285,,,,,,,,,,,,,57.5995133545409,,,,,,,
TC,Turks and Caicos Islands,1982,1984,1980,4,2,1,,,,,,57.5995133545409,,,,,,,,,,,,,59.5024339537532,,,,,,,,,,,,,61.6808611813261,,,,,,,
TC,Turks and Caicos Islands,1984,1986,1980,1,-5,3,,,,,,61.6808611813261,,,,,,,,,,,,,64.0242273516633,,,,,,,,,,,,,66.4219647791689,,,,,,,
TC,Turks and Caicos Islands,1986,1988,1980,1,-4,3,,,,,,66.4219647791689,,,,,,,,,,,,,68.7635057782468,,,,,,,,,,,,,70.9382826633008,,,,,,,
TC,Turks and Caicos Islands,1988,1990,1980,2,-4,1,,,,,,70.9382826633008,,,,,,,,,,,,,72.8357277487349,,,,,,,,,,,,,74.3523565053289,,,88.7,0.0,,,
TC,Turks and Caicos Islands,1990,1992,1990,0,6,7,,,,,,74.3523565053289,,,88.7,0.0,,,,,,,,,75.6311625040046,,,91.0539093017578,,,,,,,,,,76.8569515208731,,,91.4391174316406,,,,
TC,Turks and Caicos Islands,1992,1994,1990,-1,-3,8,,,,,,76.8569515208731,,,91.4391174316406,,,,,,,,,,78.0245890373966,,,91.8236465454102,,,,,,,,,,79.1346004562551,,,92.2068176269531,,,,
TC,Turks and Caicos Islands,1994,1996,1990,0,-2,8,,,,,,79.1346004562551,,,92.2068176269531,,,,,,,,,,80.1875111801289,,,92.5879440307617,,,,,,,,,,81.1838466116978,,,92.9663467407227,,,,
TC,Turks and Caicos Islands,1996,1998,1990,0,6,7,,,,,,81.1838466116978,,,92.9663467407227,,,,,,,,,,82.124132153642,,,93.3413619995117,,,,,,,,,,83.0088932086415,,,93.712287902832,,,,
TC,Turks and Caicos Islands,1998,2000,1990,-3,-1,5,,,,,,83.0088932086415,,,93.712287902832,,,,,,,,,,83.8386551793763,,,94.0783767700195,,,,,,,,1.44617213759061,15.0150590104723,84.6139434685266,,,95.6,,79.5297318804307,,
