country_code,country_name,snapshot_year,time_index,decade,bmu_x,bmu_y,cluster,GDP_per_capita_constant_2015_US_t-2,Trade_percent_of_GDP_t-2,Unemployment_total_percent_of_labor_force_t-2,Agriculture_value_added_percent_of_GDP_t-2,Industry_value_added_percent_of_GDP_t-2,Urban_population_percent_t-2,Inflation_consumer_prices_annual_percent_t-2,Gross_fixed_capital_formation_percent_of_GDP_t-2,Access_to_electricity_percent_of_population_t-2,Internet_users_percent_of_population_t-2,Services_value_added_percent_of_GDP_t-2,Gross_domestic_savings_percent_of_GDP_t-2,FDI_net_inflows_percent_of_GDP_t-2,GDP_per_capita_constant_2015_US_t-1,Trade_percent_of_GDP_t-1,Unemployment_total_percent_of_labor_force_t-1,Agriculture_value_added_percent_of_GDP_t-1,Industry_value_added_percent_of_GDP_t-1,Urban_population_percent_t-1,Inflation_consumer_prices_annual_percent_t-1,Gross_fixed_capital_formation_percent_of_GDP_t-1,Access_to_electricity_percent_of_population_t-1,Internet_users_percent_of_population_t-1,Services_value_added_percent_of_GDP_t-1,Gross_domestic_savings_percent_of_GDP_t-1,FDI_net_inflows_percent_of_GDP_t-1,GDP_per_capita_constant_2015_US_t0,Trade_percent_of_GDP_t0,Unemployment_total_percent_of_labor_force_t0,Agriculture_value_added_percent_of_GDP_t0,Industry_value_added_percent_of_GDP_t0,Urban_population_percent_t0,Inflation_consumer_prices_annual_percent_t0,Gross_fixed_capital_formation_percent_of_GDP_t0,Access_to_electricity_percent_of_population_t0,Internet_users_percent_of_population_t0,Services_value_added_percent_of_GDP_t0,Gross_domestic_savings_percent_of_GDP_t0,FDI_net_inflows_percent_of_GDP_t0
TH,Thailand,1990,1992,1990,1,-5,10,41.24198105319814,75.7823643645399,,12.4996278305399,37.2247439615822,18.8071480847314,37.10836571850776,40.3822231692519,,0.0,,34.0368518010665,2.86320410852027,42.27209547790323,78.4711349774175,2.63,12.6498265961915,38.6578814548068,19.3568451726218,36.9330991938024,41.6315883689779,,5.22e-05,,35.8028214637247,2.05017744663305,43.239824153070586,77.9546456926093,1.35,12.2973357445063,38.0558367027273,20.2251472411188,34.875130374241515,39.2552719441424,,0.000344,,35.3318404509549,1.89589035115006
TH,Thailand,1992,1994,1990,1,-5,10,43.239824153070586,77.9546456926093,1.35,12.2973357445063,38.0558367027273,20.2251472411188,34.875130374241515,39.2552719441424,,0.000344,,35.3318404509549,1.89589035115006,44.23910740209595,77.7461171174097,1.49,8.02582929718645,36.8548574412289,21.344368876117,33.52130722717705,39.0646210454902,,0.0136,55.1193132615846,37.0392955133654,1.39968290876163,45.21234368802954,81.2489529938277,1.347,8.62754771501915,36.9951939367161,22.6578637457835,36.13140419382749,39.9997289304408,,0.0386,54.3772583482647,36.8168301667891,0.93155550985152
TH,Thailand,1994,1996,1990,1,-5,10,45.21234368802954,81.2489529938277,1.347,8.62754771501915,36.9951939367161,22.6578637457835,36.13140419382749,39.9997289304408,,0.0386,54.3772583482647,36.8168301667891,0.93155550985152,46.21083265070679,89.7561749368245,1.1,9.08122459760424,37.2780202266021,24.1089855182854,37.05668883342356,41.3212778599464,,0.0748,53.6407551757937,37.4484720507851,1.22161487733782,46.85510965056603,84.2741479979753,1.071,9.06341649341052,37.0812856626692,25.6410878617897,37.04187511822107,41.6549461863957,,0.115,53.8552978439203,36.7067979935343,1.27616818910847
TH,Thailand,1996,1998,1990,2,-4,10,46.85510965056603,84.2741479979753,1.071,9.06341649341052,37.0812856626692,25.6410878617897,37.04187511822107,41.6549461863957,,0.115,53.8552978439203,36.7067979935343,1.27616818910847,46.20943016011128,95.0517906464755,0.873,9.06490231003904,36.5645997821799,27.1975244444636,36.83582052000148,34.6114374637763,,0.361,54.370497907781,34.9154938846912,2.59338342691776,44.76236473668835,100.240473732828,3.404,10.2592271107015,36.1117273377541,28.7216489344742,39.194569966693,22.1517868670203,,1.09,53.6290455515444,35.2603916195351,6.43480671140772
TH,Thailand,1998,2000,1990,2,-3,10,44.76236473668835,100.240473732828,3.404,10.2592271107015,36.1117273377541,28.7216489344742,39.194569966693,22.1517868670203,,1.09,53.6290455515444,35.2603916195351,6.43480671140772,45.26576677765541,100.706288704433,2.968,8.8929952779078,36.3788997763176,30.1568149999886,24.17714610277565,20.4100107185522,,2.43,54.7281049457746,33.242334899013,4.81780662046842,45.77086266543062,121.297955351472,2.389,8.49984812084058,36.6694083813627,31.4626212652205,29.59328544814045,21.574927709465,82.1,3.68904,54.8307434977968,32.2902982748894,2.66312868727133
TH,Thailand,2000,2002,2000,2,-3,8,45.77086266543062,121.297955351472,2.389,8.49984812084058,36.6694083813627,31.4626212652205,29.59328544814045,21.574927709465,82.1,3.68904,54.8307434977968,32.2902982748894,2.66312868727133,46.14181709714178,120.267966273533,2.6,8.57928745008654,36.3210034946673,32.7428054763889,29.696611625485357,22.480369975609,90.4,5.55633,55.0997090552462,30.5227071051998,4.21223509530842,46.92512432274141,114.969743021067,1.82,8.6921781801026,36.8944314471526,34.0732781018222,26.326234575354444,21.9115852147245,91.0,7.53125,54.4133903727448,31.1701306404039,2.48815301889834
TH,Thailand,2002,2004,2000,2,-3,8,46.92512432274141,114.969743021067,1.82,8.6921781801026,36.8944314471526,34.0732781018222,26.326234575354444,21.9115852147245,91.0,7.53125,54.4133903727448,31.1701306404039,2.48815301889834,47.86574803654039,116.692819704865,1.54,9.44135495796228,37.9181748920386,35.4270354382579,30.201005857935968,23.0319014300881,91.6,9.29903,52.6404701499991,31.4431807370962,3.43593984811892,48.68004735231772,127.411873720393,1.51,9.29111013904814,37.9023024950671,36.785516284484,32.46216163394932,24.8641915872839,92.2,10.6773,52.8065873658848,31.0114545254276,3.38947495269123
TH,Thailand,2004,2006,2000,2,-3,8,48.68004735231772,127.411873720393,1.51,9.29111013904814,37.9023024950671,36.785516284484,32.46216163394932,24.8641915872839,92.2,10.6773,52.8065873658848,31.0114545254276,3.38947495269123,49.187437283247824,137.853866832247,1.35,9.19435528237181,38.5052107116361,38.1301594392881,35.455228015465224,27.7126228148178,92.8,15.026,52.3004340059921,30.5064961689092,4.33958708070528,49.81627396343977,134.086946191268,1.22,9.40199346621521,39.146855883906,39.4424037014582,35.58930588257703,26.8466322343858,99.1,17.1607,51.4511506498788,32.0465788099103,4.0212567065949
TH,Thailand,2006,2008,2000,2,-3,8,49.81627396343977,134.086946191268,1.22,9.40199346621521,39.146855883906,39.4424037014582,35.58930588257703,26.8466322343858,99.1,17.1607,51.4511506498788,32.0465788099103,4.0212567065949,50.51932830612395,129.873226989717,1.18,9.3476847010693,39.4313718771557,40.7036878697821,31.31897929321841,25.4562513958054,94.1,20.03,51.220943421775,33.525651033389,3.28356939351343,50.666873778436326,140.437011540931,1.18,10.0724338253633,39.4796129651304,41.8954507430475,36.65040262397212,26.4477158532838,94.8,18.2,50.4479532095063,32.0186538914625,2.93824905393328
TH,Thailand,2008,2010,2000,2,-3,8,50.666873778436326,140.437011540931,1.18,10.0724338253633,39.4796129651304,41.8954507430475,36.65040262397212,26.4477158532838,94.8,18.2,50.4479532095063,32.0186538914625,2.93824905393328,50.44284442781445,119.269418854589,1.49,9.78703375942043,38.6085988884387,42.9991311200422,17.514441897784504,23.108954889945,99.0,20.1,51.6043673521408,30.9541678991521,2.27590224065624,51.47161786321314,127.250522638251,0.622,10.5221756369849,39.9217256985357,44.0018736622496,33.404824390111685,23.9927018003552,99.7,22.4,49.5560986644794,32.0236543828751,4.32320928209171
