country_code,country_name,snapshot_year,time_index,decade,bmu_x,bmu_y,cluster,GDP_per_capita_constant_2015_US_t-2,Trade_percent_of_GDP_t-2,Unemployment_total_percent_of_labor_force_t-2,Agriculture_value_added_percent_of_GDP_t-2,Industry_value_added_percent_of_GDP_t-2,Urban_population_percent_t-2,Inflation_consumer_prices_annual_percent_t-2,Gross_fixed_capital_formation_percent_of_GDP_t-2,Access_to_electricity_percent_of_population_t-2,Internet_users_percent_of_population_t-2,Services_value_added_percent_of_GDP_t-2,Gross_domestic_savings_percent_of_GDP_t-2,FDI_net_inflows_percent_of_GDP_t-2,GDP_per_capita_constant_2015_US_t-1,Trade_percent_of_GDP_t-1,Unemployment_total_percent_of_labor_force_t-1,Agriculture_value_added_percent_of_GDP_t-1,Industry_value_added_percent_of_GDP_t-1,Urban_population_percent_t-1,Inflation_consumer_prices_annual_percent_t-1,Gross_fixed_capital_formation_percent_of_GDP_t-1,Access_to_electricity_percent_of_population_t-1,Internet_users_percent_of_population_t-1,Services_value_added_percent_of_GDP_t-1,Gross_domestic_savings_percent_of_GDP_t-1,FDI_net_inflows_percent_of_GDP_t-1,GDP_per_capita_constant_2015_US_t0,Trade_percent_of_GDP_t0,Unemployment_total_percent_of_labor_force_t0,Agriculture_value_added_percent_of_GDP_t0,Industry_value_added_percent_of_GDP_t0,Urban_population_percent_t0,Inflation_consumer_prices_annual_percent_t0,Gross_fixed_capital_formation_percent_of_GDP_t0,Access_to_electricity_percent_of_population_t0,Internet_users_percent_of_population_t0,Services_value_added_percent_of_GDP_t0,Gross_domestic_savings_percent_of_GDP_t0,FDI_net_inflows_percent_of_GDP_t0
TO,Tonga,1980,1982,1980,3,-2,1,,97.7807709576037,,33.4026040664486,12.5377888953028,20.6173751312774,22.3933889164965,29.0381202830693,,,,-7.60053877236867,0.0,2589.00420030952,92.6204235363625,,33.8182892380407,11.1976810737958,20.7426037594872,14.8992481203003,28.3071469453317,,,,-12.3091409264627,0.0,2709.79072078338,92.2131616361349,,32.7357704312585,10.6548134590558,20.8822896130748,10.8378703800655,29.3154445769941,,,,-5.81439053486511,0.0
TO,Tonga,1982,1984,1980,4,0,1,2709.79072078338,92.2131616361349,,32.7357704312585,10.6548134590558,20.8822896130748,10.8378703800655,29.3154445769941,,,,-5.81439053486511,0.0,2763.00209177797,87.8284166432304,,31.0839414437751,13.4401042052132,21.033809695851,9.81355311787775,26.8964904749922,,,,-21.166683935523,0.0,2811.26339525781,89.5630438048927,,32.508776003606,14.0211170452528,21.1945410116269,0.106451612903717,23.5415443034517,,,,-12.3861168403655,0.03112920189589
TO,Tonga,1984,1986,1980,4,0,1,2811.26339525781,89.5630438048927,,32.508776003606,14.0211170452528,21.1945410116269,0.106451612903717,23.5415443034517,,,,-12.3861168403655,0.03112920189589,2995.82251662265,102.359357194353,,31.8612060745599,12.5642456801321,21.3618605642134,16.765,23.2610060699086,,,,-15.7178073908696,0.0348773850722813,3058.48226929304,95.5881632212976,,32.9343958596759,12.3278540692603,21.5331453574214,21.6738748768894,22.5100714558767,,,,-20.0321502435773,0.166285651759616
TO,Tonga,1986,1988,1980,4,0,1,3058.48226929304,95.5881632212976,,32.9343958596759,12.3278540692603,21.5331453574214,21.6738748768894,22.5100714558767,,,,-20.0321502435773,0.166285651759616,3138.07890043538,95.532292497235,,32.7511853014052,10.8293251712578,21.7057723950618,4.68598778792495,22.473143170692,,,,-11.5049255382083,0.237785923559344,3060.57545238666,89.4857435848134,,31.6453160926447,10.8106808950417,21.8771186809456,9.92402339810402,20.8338340503601,,,,-20.84505011176,0.0545168006704606
TO,Tonga,1988,1990,1980,4,0,1,3060.57545238666,89.4857435848134,,31.6453160926447,10.8106808950417,21.8771186809456,9.92402339810402,20.8338340503601,,,,-20.84505011176,0.0545168006704606,3059.09406969715,87.9089924160347,,30.4367317966152,12.6992191878059,22.0445612188837,4.07364364792932,20.2062240818919,,,,-17.2570702730975,0.103943204289237,2987.63681443977,98.9657234499443,,29.913153388241,11.7086629155454,22.205477012687,9.70986384562655,18.0108184511675,,0.0,,-12.7320666503574,0.0876347967566223
TO,Tonga,1990,1992,1990,4,0,1,2987.63681443977,98.9657234499443,,29.913153388241,11.7086629155454,22.205477012687,9.70986384562655,18.0108184511675,,0.0,,-12.7320666503574,0.0876347967566223,3173.08619230056,83.4620679999067,1.348,30.6547966303409,9.99113247613936,22.3572430661665,10.5954493994793,15.3559844118265,,,,-20.9174386857396,0.151503565185696,3177.04244039371,72.6308207233457,1.349,32.7856067416947,10.9265497557435,22.4972363831331,7.93698012192874,15.8322591826345,,,,-7.61906825099382,0.90767165212935
TO,Tonga,1992,1994,1990,5,1,1,3177.04244039371,72.6308207233457,1.349,32.7856067416947,10.9265497557435,22.4972363831331,7.93698012192874,15.8322591826345,,,,-7.61906825099382,0.90767165212935,3293.13527999427,67.443522721344,1.3,34.1101893880106,10.0537381958575,22.6228339673977,0.960904460459173,15.8110293734022,,,,-9.5617467522304,0.253672875477542,3454.0546888922,62.9597680826041,1.688,21.5373455104652,17.7495185457008,22.7314128227714,1.01295206694856,20.8912324882231,80.0,,47.4079149811418,-4.31142663131171,1.27004421143699
TO,Tonga,1994,1996,1990,4,1,1,3454.0546888922,62.9597680826041,1.688,21.5373455104652,17.7495185457008,22.7314128227714,1.01295206694856,20.8912324882231,80.0,,47.4079149811418,-4.31142663131171,1.27004421143699,3667.0187937044,71.1192857546477,1.987,20.7042248215328,18.7145467216666,22.8203499530649,1.46000630350975,25.3853195456857,81.7884750366211,0.123,47.2107890226215,-5.54549735360043,0.49238368273342,3668.59594064806,77.8333565419141,2.404,20.3094453076087,18.9002641392339,22.8856927807696,2.99528023991141,25.2771049725938,82.5543670654297,0.164,47.6270413957019,-5.71746129557973,0.128315740863586
TO,Tonga,1996,1998,1990,4,1,1,3668.59594064806,77.8333565419141,2.404,20.3094453076087,18.9002641392339,22.8856927807696,2.99528023991141,25.2771049725938,82.5543670654297,0.164,47.6270413957019,-5.71746129557973,0.128315740863586,3632.11224987845,71.850198257484,2.877,20.2134650166009,16.7080753801791,22.9319816024383,2.12473132408035,18.9298623885803,83.3168563842773,0.511,49.3729791854491,-8.2810187095722,-0.0048978691415935,3689.21654556702,78.2916318575919,3.348,21.2612603784124,16.3991078143938,22.9682257410741,3.27444554260469,19.9033477259452,84.0752716064453,0.765,49.7065188136997,-12.2295085524453,0.0238688418561464
TO,Tonga,1998,2000,1990,4,1,1,3689.21654556702,78.2916318575919,3.348,21.2612603784124,16.3991078143938,22.9682257410741,3.27444554260469,19.9033477259452,84.0752716064453,0.765,49.7065188136997,-12.2295085524453,0.0238688418561464,3749.82332362386,60.7775208771412,3.69,22.3840696232441,17.1083137486243,22.998777247039,4.46435467675891,19.5540078085107,84.8288421630859,1.02,48.757996428764,-4.43962359299327,0.480977947157759,3866.68574867282,61.508239295468,3.966,19.6369230036126,18.1054832340091,23.0251513819988,6.32763551411155,19.7261510145368,85.6,2.4344,49.8736929257912,-5.50470710518243,4.49717744985392
TO,Tonga,2000,2002,2000,2,-3,1,3866.68574867282,61.508239295468,3.966,19.6369230036126,18.1054832340091,23.0251513819988,6.32763551411155,19.7261510145368,85.6,2.4344,49.8736929257912,-5.50470710518243,4.49717744985392,3901.18055446166,62.4065643935194,4.368,18.2874396196592,18.4174602892502,23.0488634076195,8.2902831885033,23.1839915188947,86.3,2.82537,50.8128337086696,-6.36875599642408,4.21200124520251,4050.98945082432,73.8374093817514,4.683,18.1062295253149,17.687542530742,23.071428585567,10.3590607918507,23.9297188195537,87.0,2.9073,50.2131463198091,-12.9807024955301,2.56728501801885
TO,Tonga,2002,2004,2000,2,-3,1,4050.98945082432,73.8374093817514,4.683,18.1062295253149,17.687542530742,23.071428585567,10.3590607918507,23.9297188195537,87.0,2.9073,50.2131463198091,-12.9807024955301,2.56728501801885,4030.19673410072,73.2160568173731,5.18,19.1629815067882,17.0678003356506,23.0943621775072,11.6386219580734,20.1250717288707,87.6,2.98582,48.9232561889516,-10.3424698873868,0.0901243029612134,3928.06014016386,73.9737151214869,3.878,20.2479896638834,16.5603761993835,23.1191794451059,10.9734053679554,19.7063691847424,88.3,3.95237,49.6719952820383,-11.6595786341433,2.39886931834874
TO,Tonga,2004,2006,2000,4,1,1,3928.06014016386,73.9737151214869,3.878,20.2479896638834,16.5603761993835,23.1191794451059,10.9734053679554,19.7063691847424,88.3,3.95237,49.6719952820383,-11.6595786341433,2.39886931834874,3880.07037654517,76.2080494394572,2.542,17.7608711887512,16.6647322768346,23.1473956500293,8.66569221131751,21.6534087068824,89.0,4.90778,51.3193096967317,-16.5103029412118,2.29371409620501,3775.24832512712,66.3549884749532,1.09,15.7717863584054,15.3239515886713,23.1801421282521,6.14911606456571,20.5220100117669,92.3,5.85394,53.5471797873232,-14.8569027296952,3.75983551599556
TO,Tonga,2006,2008,2000,4,1,1,3775.24832512712,66.3549884749532,1.09,15.7717863584054,15.3239515886713,23.1801421282521,6.14911606456571,20.5220100117669,92.3,5.85394,53.5471797873232,-14.8569027296952,3.75983551599556,3665.89534379299,68.2299182500325,1.21,16.7079851952487,15.7013029178113,23.2239976577967,5.8422487490138,20.2246238134897,90.5,7.17987,51.5911160117564,-18.8621745360886,5.89035555053906,3833.60152751942,72.6563791156237,1.279,14.7436009055831,15.5113181085154,23.2889000757567,10.4469875128223,20.0175440686659,91.2,8.11077,52.8115110841061,-18.5806594895754,6.24719241143554
TO,Tonga,2008,2010,2000,4,1,1,3833.60152751942,72.6563791156237,1.279,14.7436009055831,15.5113181085154,23.2889000757567,10.4469875128223,20.0175440686659,91.2,8.11077,52.8115110841061,-18.5806594895754,6.24719241143554,3630.76081551536,74.3406648891028,1.419,15.5131326816281,16.7737154226022,23.3612068183251,1.42685972070535,24.3059965617122,92.0,10.0,54.6604882663289,-20.6499689842011,0.0790635732994994,3653.97801722796,70.7976681214649,1.501,16.4379858757354,18.0424982701103,23.4243619099178,3.53491239189833,28.6607072079984,92.8,16.0,53.59398087421,-12.8960959813572,1.27041874988286
TO,Tonga,2010,2012,2010,4,1,1,3653.97801722796,70.7976681214649,1.501,16.4379858757354,18.0424982701103,23.4243619099178,3.53491239189833,28.6607072079984,92.8,16.0,53.59398087421,-12.8960959813572,1.27041874988286,3892.76791192676,78.8578648859134,1.594,17.0659562210843,19.0875708794809,23.46075468367,6.2707530299569,27.9219321736928,92.2,25.0,51.759830275415,-6.54028000022669,1.8451444721178,3932.59350453286,77.9722872799652,1.638,16.6359974823467,18.8662320133186,23.4589062635692,1.14753853706055,34.9883672497694,92.8,30.0,51.8379094160783,-5.5157069052877,-0.178618753397925
TO,Tonga,2012,2014,2010,2,-3,1,3932.59350453286,77.9722872799652,1.638,16.6359974823467,18.8662320133186,23.4589062635692,1.14753853706055,34.9883672497694,92.8,30.0,51.8379094160783,-5.5157069052877,-0.178618753397925,3962.16964095596,82.731581196292,1.75,17.0733080496623,15.8952134096482,23.4170795020344,0.77562932236742,22.2028837785637,95.1,32.754,54.2264528206162,-12.0677590809228,1.38770980540009,4058.815614369,74.7304245935745,1.914,16.3195864502861,16.128191902045,23.3431040935971,2.51087633253706,21.5967097250699,95.9,35.9544,54.0689079635097,-18.5043615596802,3.00261120308574
TO,Tonga,2014,2016,2010,6,2,1,4058.815614369,74.7304245935745,1.914,16.3195864502861,16.128191902045,23.3431040935971,2.51087633253706,21.5967097250699,95.9,35.9544,54.0689079635097,-18.5043615596802,3.00261120308574,4123.90323993332,81.3902410936397,2.022,16.8506630377007,15.5472098085233,23.2434422818439,-1.05399831971283,23.3162751064744,100.0,38.6513,53.361564916895,-21.9514110210835,3.37347770551723,4419.81472868939,87.7771675387955,2.048,16.6067318041161,15.9723714684611,23.1277038505921,2.57815515245072,24.1973377109968,97.0,39.95,52.0575358946629,-16.875084455849,3.9505771329227
TO,Tonga,2016,2018,2010,3,0,1,4419.81472868939,87.7771675387955,2.048,16.6067318041161,15.9723714684611,23.1277038505921,2.57815515245072,24.1973377109968,97.0,39.95,52.0575358946629,-16.875084455849,3.9505771329227,4568.62468668733,88.0434937486257,2.137,16.8193763932722,16.4212234408385,22.9711300654966,7.51706283551125,26.6999595514284,98.2,46.2,50.5829610861853,-16.1635504293614,-3.40708330022208,4583.5594849415,86.1039624323194,2.248,17.2484111586777,15.2201451230749,22.7017138925547,5.03209691984882,22.4432499484449,99.0,,50.6181386855361,-18.8499888832707,4.70301138186589
TO,Tonga,2018,2020,2010,5,2,1,4583.5594849415,86.1039624323194,2.248,17.2484111586777,15.2201451230749,22.7017138925547,5.03209691984882,22.4432499484449,99.0,,50.6181386855361,-18.8499888832707,4.70301138186589,4566.07497816235,88.0453900968952,2.165,18.5717317231686,15.3617863881286,22.3288155626206,1.179543348218,25.9285419777856,98.4,,49.8380063460624,-17.4303778871399,-1.20711457204864,4647.0076512901,81.8494988890262,2.712,17.0936648906636,14.7467498085241,21.8766206823411,-0.349737696727418,23.4081961772996,99.9,,52.3603852636519,-15.9927350364619,0.754966505925585
TO,Tonga,2020,2022,2020,3,0,1,4647.0076512901,81.8494988890262,2.712,17.0936648906636,14.7467498085241,21.8766206823411,-0.349737696727418,23.4081961772996,99.9,,52.3603852636519,-15.9927350364619,0.754966505925585,4612.90046969933,68.5461486002269,2.111,16.5218698536287,16.2977959370298,21.258003897665,5.64051140636743,31.5493510071126,100.0,57.5486,50.6877563480256,-13.0801851961607,0.049775545023486,4533.96790206106,70.1272756617234,2.002,17.4256261468486,17.2421442273298,21.147219451842,10.9713652903022,27.6941217094422,100.0,57.7181,49.4278077254326,-15.7504803965961,0.523176247933185
