country_code,country_name,snapshot_year,time_index,decade,bmu_x,bmu_y,cluster,GDP_per_capita_constant_2015_US_t-2,Trade_percent_of_GDP_t-2,Unemployment_total_percent_of_labor_force_t-2,Agriculture_value_added_percent_of_GDP_t-2,Industry_value_added_percent_of_GDP_t-2,Urban_population_percent_t-2,Inflation_consumer_prices_annual_percent_t-2,Gross_fixed_capital_formation_percent_of_GDP_t-2,Access_to_electricity_percent_of_population_t-2,Internet_users_percent_of_population_t-2,Services_value_added_percent_of_GDP_t-2,Gross_domestic_savings_percent_of_GDP_t-2,FDI_net_inflows_percent_of_GDP_t-2,GDP_per_capita_constant_2015_US_t-1,Trade_percent_of_GDP_t-1,Unemployment_total_percent_of_labor_force_t-1,Agriculture_value_added_percent_of_GDP_t-1,Industry_value_added_percent_of_GDP_t-1,Urban_population_percent_t-1,Inflation_consumer_prices_annual_percent_t-1,Gross_fixed_capital_formation_percent_of_GDP_t-1,Access_to_electricity_percent_of_population_t-1,Internet_users_percent_of_population_t-1,Services_value_added_percent_of_GDP_t-1,Gross_domestic_savings_percent_of_GDP_t-1,FDI_net_inflows_percent_of_GDP_t-1,GDP_per_capita_constant_2015_US_t0,Trade_percent_of_GDP_t0,Unemployment_total_percent_of_labor_force_t0,Agriculture_value_added_percent_of_GDP_t0,Industry_value_added_percent_of_GDP_t0,Urban_population_percent_t0,Inflation_consumer_prices_annual_percent_t0,Gross_fixed_capital_formation_percent_of_GDP_t0,Access_to_electricity_percent_of_population_t0,Internet_users_percent_of_population_t0,Services_value_added_percent_of_GDP_t0,Gross_domestic_savings_percent_of_GDP_t0,FDI_net_inflows_percent_of_GDP_t0
TT,Trinidad and Tobago,1990,1992,1990,-2,5,12,54.29125150005866,,,2.54097218998096,47.4845628859279,55.0016678807098,41.46036721779194,,,0.0,48.2905427364316,,2.15887459956358,54.64687808924397,,18.52,2.47710407560753,44.7674057787274,55.1774102229177,34.32108989845001,,,,51.0435044727953,,3.19035755764985,56.03425891374152,,19.66,2.53567550966559,42.6977130473525,55.3352631976883,37.73003620434715,,,,55.1139583270251,,3.27016493569974
TT,Trinidad and Tobago,1992,1994,1990,-2,5,12,56.03425891374152,,19.66,2.53567550966559,42.6977130473525,55.3352631976883,37.73003620434715,,,,55.1139583270251,,3.27016493569974,55.82137193333065,,19.81,2.51491781693607,41.3984928102326,55.4750221159377,41.31236139271212,,,,54.5129647935518,,8.12105593892799,56.27393607897545,,18.44,2.22232077975689,46.6045981638731,55.5964822885821,39.867790250240034,,,,50.0431568281608,,10.4337173005006
TT,Trinidad and Tobago,1994,1996,1990,-2,5,12,56.27393607897545,,18.44,2.22232077975689,46.6045981638731,55.5964822885821,39.867790250240034,,,,50.0431568281608,,10.4337173005006,56.77636538329334,,17.22,2.31282988033606,44.9561631821208,55.6994390265373,36.30108630892838,,,0.158,51.0778588577504,,5.60934612258655,57.78540415916294,,16.25,2.08491149751638,45.1434948795198,55.7836876407195,33.68488097123987,,,0.393,51.2611820762954,,6.17059803286047
TT,Trinidad and Tobago,1996,1998,1990,-2,5,12,57.78540415916294,,16.25,2.08491149751638,45.1434948795198,55.7836876407195,33.68488097123987,,,0.393,51.2611820762954,,6.17059803286047,58.861573282929314,,15.01,2.16722840647102,42.7446355939527,55.8490234420447,34.06350837429027,,,1.17,54.3906307933773,,17.4169995759328,60.03149250965311,,14.21,2.05805858400105,38.5072901615657,55.8952417414289,36.82056210620063,,,2.72,57.4816760803888,,12.0748728881748
TT,Trinidad and Tobago,1998,2000,1990,3,-3,10,60.03149250965311,,14.21,2.05805858400105,38.5072901615657,55.8952417414289,36.82056210620063,,,2.72,57.4816760803888,,12.0748728881748,61.18602499332524,,13.12,1.93592311333183,40.6259399241299,55.9221378497883,33.74519549597244,,,5.81,56.8109379772483,,9.44781394340287,62.17021944493393,,12.1,1.3571938867876,47.5360468126773,55.9291468285602,33.94472244426346,15.5610104592696,91.3,7.72141,51.4740893155048,,8.33298414855164
TT,Trinidad and Tobago,2000,2002,2000,4,-3,9,62.17021944493393,,12.1,1.3571938867876,47.5360468126773,55.9291468285602,33.94472244426346,15.5610104592696,91.3,7.72141,51.4740893155048,,8.33298414855164,62.74079547736935,,10.88,1.28637705609447,45.2069910848034,55.9010190940268,36.7312943874823,26.3914542096307,96.3,15.3846,53.3926467807851,,9.46078540845564,63.860120234269694,,10.39,1.39847219754841,42.9095754130396,55.8298121439974,34.891499257675825,21.8779534553207,96.5,21.9987,55.3124888967845,,11.1874626530467
TT,Trinidad and Tobago,2002,2004,2000,4,-3,9,63.860120234269694,,10.39,1.39847219754841,42.9095754130396,55.8298121439974,34.891499257675825,21.8779534553207,96.5,21.9987,55.3124888967845,,11.1874626530467,65.89255232848346,,10.48,0.947884612682488,51.4964380558951,55.7188050758235,34.36613790507989,24.2428585479633,96.7,25.9718,47.7363739830544,,7.14964286416839,67.01191392093206,,8.33,0.761483945963904,54.3682801507327,55.5711241312409,34.22114071995441,16.000008989575,96.8,27.0243,44.6881097437752,,7.51564800520554
TT,Trinidad and Tobago,2004,2006,2000,5,-3,9,67.01191392093206,,8.33,0.761483945963904,54.3682801507327,55.5711241312409,34.22114071995441,16.000008989575,96.8,27.0243,44.6881097437752,,7.51564800520554,68.55798689778774,,7.95,0.483999190377517,59.6470153480265,55.3898955519853,38.1682125524677,10.937309018096,95.0,28.9767,39.7489177075892,,5.87959659171048,70.45774902671897,,6.27,0.566876991369423,60.8194415532707,55.1782455797922,39.47664489489145,15.6497022950138,100.0,30.0037,38.0397488161066,,4.80528416565147
TT,Trinidad and Tobago,2006,2008,2000,5,-3,9,70.45774902671897,,6.27,0.566876991369423,60.8194415532707,55.1782455797922,39.47664489489145,15.6497022950138,100.0,30.0037,38.0397488161066,,4.80528416565147,71.121507905311,,5.54,0.371661707526332,59.6521421660795,54.9393004563973,39.108002769532334,26.5072464540625,100.0,32.3,39.4961026633322,,3.83520271627024,71.57878982377012,,4.63,0.365514424327618,63.9782596789726,54.6761864235364,42.054705720822895,23.0445264115121,100.0,34.8,35.1757002222638,,10.0489432656806
TT,Trinidad and Tobago,2008,2010,2000,5,-3,9,71.57878982377012,,4.63,0.365514424327618,63.9782596789726,54.6761864235364,42.054705720822895,23.0445264115121,100.0,34.8,35.1757002222638,,10.0489432656806,70.85780889543607,,5.28,0.595145826393538,53.1358528774451,54.3920297229449,38.26902825748415,31.4254022882359,99.0,44.3,46.5265844994937,,3.69859111717232,71.27880190407787,,4.033,0.52014610527508,53.8139564515672,54.0899565963587,41.123572378455165,23.1421157657785,100.0,48.5,45.5105190135062,,2.47947454143897
