country_code,country_name,snapshot_year,time_index,decade,bmu_x,bmu_y,cluster,GDP_per_capita_constant_2015_US_t-2,Trade_percent_of_GDP_t-2,Unemployment_total_percent_of_labor_force_t-2,Agriculture_value_added_percent_of_GDP_t-2,Industry_value_added_percent_of_GDP_t-2,Urban_population_percent_t-2,Inflation_consumer_prices_annual_percent_t-2,Gross_fixed_capital_formation_percent_of_GDP_t-2,Access_to_electricity_percent_of_population_t-2,Internet_users_percent_of_population_t-2,Services_value_added_percent_of_GDP_t-2,Gross_domestic_savings_percent_of_GDP_t-2,FDI_net_inflows_percent_of_GDP_t-2,GDP_per_capita_constant_2015_US_t-1,Trade_percent_of_GDP_t-1,Unemployment_total_percent_of_labor_force_t-1,Agriculture_value_added_percent_of_GDP_t-1,Industry_value_added_percent_of_GDP_t-1,Urban_population_percent_t-1,Inflation_consumer_prices_annual_percent_t-1,Gross_fixed_capital_formation_percent_of_GDP_t-1,Access_to_electricity_percent_of_population_t-1,Internet_users_percent_of_population_t-1,Services_value_added_percent_of_GDP_t-1,Gross_domestic_savings_percent_of_GDP_t-1,FDI_net_inflows_percent_of_GDP_t-1,GDP_per_capita_constant_2015_US_t0,Trade_percent_of_GDP_t0,Unemployment_total_percent_of_labor_force_t0,Agriculture_value_added_percent_of_GDP_t0,Industry_value_added_percent_of_GDP_t0,Urban_population_percent_t0,Inflation_consumer_prices_annual_percent_t0,Gross_fixed_capital_formation_percent_of_GDP_t0,Access_to_electricity_percent_of_population_t0,Internet_users_percent_of_population_t0,Services_value_added_percent_of_GDP_t0,Gross_domestic_savings_percent_of_GDP_t0,FDI_net_inflows_percent_of_GDP_t0
TZ,Tanzania,1990,1992,1990,-4,1,1,16.50206125843187,34.4836065795064,,28.954719959076,11.1204441799875,18.9291312031352,50.07193145958173,17.7389430013166,,0.0,22.9278646464058,30.7505189207148,0.0001616975859865,16.42739055658088,30.2316225499322,3.6,30.1999257092237,10.5966342109482,19.2671438253849,48.41110813727111,17.9041506552543,,,21.9373834543698,30.7202152633781,0.0001389319547348,16.128818133812807,35.6677963323106,3.683,30.7850361075011,10.3915746422618,19.589598742605,46.38788443332123,18.567830333538,6.8,,22.9630283603034,29.5118476420731,0.182125769825402
TZ,Tanzania,1992,1994,1990,-4,1,1,16.128818133812807,35.6677963323106,3.683,30.7850361075011,10.3915746422618,19.589598742605,46.38788443332123,18.567830333538,6.8,,22.9630283603034,29.5118476420731,0.182125769825402,15.826443912323631,45.2364974710923,3.892,30.8676697945141,9.99138919562977,19.9013730856684,47.46738177160665,17.1423201471353,2.33018779754639,,23.3036502123809,28.968150863346,0.330877967283849,15.469688729315092,44.2367675621224,3.861,28.636588661415,9.63686272482232,20.2073439854484,49.69768663532707,16.8293574312174,3.30064725875854,,25.3909210940493,30.3400496760075,0.763316452562527
TZ,Tanzania,1994,1996,1990,-4,1,1,15.469688729315092,44.2367675621224,3.861,28.636588661415,9.63686272482232,20.2073439854484,49.69768663532707,16.8293574312174,3.30064725875854,,25.3909210940493,30.3400496760075,0.763316452562527,15.52724217958968,45.1619199872127,3.672,30.0588767042841,9.2445832397495,20.5123885728178,48.074400406616384,13.4943133058231,4.26906728744507,,24.4557369708085,34.3203265311362,1.57161403336131,15.936806695085906,35.7265066969485,3.475,30.3090191289217,8.97212033896713,20.8213839786497,46.08843888529154,11.3429234260611,9.4,0.00162,23.8227949065248,34.8336029239562,1.59077685028243
TZ,Tanzania,1996,1998,1990,-4,1,1,15.936806695085906,35.7265066969485,3.475,30.3090191289217,8.97212033896713,20.8213839786497,46.08843888529154,11.3429234260611,9.4,0.00162,23.8227949065248,34.8336029239562,1.59077685028243,16.163484968331748,28.8587832233337,3.342,29.3368816157901,8.95303842819244,21.1392073338172,44.147869436043855,10.1373549819879,6.1970682144165,0.0079,24.3965315604072,36.1989517788804,1.41496919733439,16.322399232396055,26.1436420608095,3.283,26.7620753192211,20.23597314949,21.4707357691933,42.49741256728664,22.607984129031,7.15528964996338,0.00924,48.0193443385265,14.2988846001033,1.41550329957581
TZ,Tanzania,1998,2000,1990,-3,-1,1,16.322399232396055,26.1436420608095,3.283,26.7620753192211,20.23597314949,21.4707357691933,42.49741256728664,22.607984129031,7.15528964996338,0.00924,48.0193443385265,14.2988846001033,1.41550329957581,16.64762518269415,25.0220548113162,3.219,26.4413895204429,19.7937333397483,21.8208464156511,39.10457068940199,19.5997270860923,8.0,0.0751,48.7550338962673,13.4955787795798,4.06712098236526,16.895944476355044,23.9891151549808,3.129,26.2172723620722,19.21152665607,22.1944164040635,37.175488872918514,18.763909618931,8.7,0.117194,49.0990079360563,15.0649002472618,3.46551698028756
TZ,Tanzania,2000,2002,2000,-3,-1,1,16.895944476355044,23.9891151549808,3.129,26.2172723620722,19.21152665607,22.1944164040635,37.175488872918514,18.763909618931,8.7,0.117194,49.0990079360563,15.0649002472618,3.46551698028756,17.39654712780572,28.0301432282533,2.994,25.8091623025794,19.3805148755861,22.5963228653037,36.25760439351939,19.5825981449716,9.7,0.1713,49.1163480266487,17.9263379910106,4.04947475303632,18.06495697736849,27.4992172734904,3.023,25.1717362899073,21.4945294072568,23.0306918214565,36.468548878990894,19.2975411959793,10.7,0.222484,47.6254339102486,19.1177692686787,2.79955328638088
TZ,Tanzania,2002,2004,2000,-1,-4,2,18.06495697736849,27.4992172734904,3.023,25.1717362899073,21.4945294072568,23.0306918214565,36.468548878990894,19.2975411959793,10.7,0.222484,47.6254339102486,19.1177692686787,2.79955328638088,18.662691642389937,30.4488358249326,3.053,24.9192926509551,23.2451517323038,23.5202087261949,36.45110268217473,21.7017881940806,11.1,0.676963,46.0085454870166,20.3874043879519,2.09316343526651,19.37122800431792,33.609786736665,3.105,25.7058139887433,23.1054997824457,24.0832469119457,35.72273796323977,25.6740520256466,11.4,0.877575,45.0959930932601,22.9405686407586,2.65421873789577
TZ,Tanzania,2004,2006,2000,-1,-4,2,19.37122800431792,33.609786736665,3.105,25.7058139887433,23.1054997824457,24.0832469119457,35.72273796323977,25.6740520256466,11.4,0.877575,45.0959930932601,22.9405686407586,2.65421873789577,20.066080782926512,36.9592732894013,3.193,24.6488410843814,22.9395155844488,24.7061884538741,36.11457007529972,28.5449716514674,13.8,1.1,45.078966625744,24.403358736173,5.08562696835774,20.61888049787228,42.7681664691467,3.299,23.6693107278646,22.84522243779,25.3741033202009,38.52855952701925,31.5031858875853,14.9,1.3,45.5521443499129,24.3857808806323,2.16456512450246
TZ,Tanzania,2006,2008,2000,-1,-5,2,20.61888049787228,42.7681664691467,3.299,23.6693107278646,22.84522243779,25.3741033202009,38.52855952701925,31.5031858875853,14.9,1.3,45.5521443499129,24.3857808806323,2.16456512450246,21.207802515098727,48.0583947796554,3.023,23.245488236772,23.1971900747875,26.0720614791471,38.31476572732589,33.8875320870203,15.9,1.6,45.5364294139161,24.2540737392155,2.66011088834969,21.651151524524234,49.0265445510865,2.775,24.7654938768997,23.7375391938967,26.7851328989335,40.94047535842681,36.0601528558413,11.5,1.9,43.7191784966665,27.3921998549604,4.94943766923668
TZ,Tanzania,2008,2010,2000,-1,-5,2,21.651151524524234,49.0265445510865,2.775,24.7654938768997,23.7375391938967,26.7851328989335,40.94047535842681,36.0601528558413,11.5,1.9,43.7191784966665,27.3921998549604,4.94943766923668,22.06950807798112,43.5326006456317,2.5,26.0351903601219,21.6769086388074,27.498387547781,42.12068134001702,30.9967357868291,11.2,2.4,44.5514742946567,27.2116078883271,3.24017488387777,22.633614476263865,47.6404394295683,3.03,25.582406886144,23.5561736572068,28.1968953939105,37.47732520813461,30.7705684106003,14.8,2.9,43.3162282485783,23.5918623508401,5.66396796617806
