country_code,country_name,snapshot_year,time_index,decade,bmu_x,bmu_y,cluster,GDP_per_capita_constant_2015_US_t-2,Trade_percent_of_GDP_t-2,Unemployment_total_percent_of_labor_force_t-2,Agriculture_value_added_percent_of_GDP_t-2,Industry_value_added_percent_of_GDP_t-2,Urban_population_percent_t-2,Inflation_consumer_prices_annual_percent_t-2,Gross_fixed_capital_formation_percent_of_GDP_t-2,Access_to_electricity_percent_of_population_t-2,Internet_users_percent_of_population_t-2,Services_value_added_percent_of_GDP_t-2,Gross_domestic_savings_percent_of_GDP_t-2,Fertility_rate_total_t-2,FDI_net_inflows_percent_of_GDP_t-2,GDP_per_capita_constant_2015_US_t-1,Trade_percent_of_GDP_t-1,Unemployment_total_percent_of_labor_force_t-1,Agriculture_value_added_percent_of_GDP_t-1,Industry_value_added_percent_of_GDP_t-1,Urban_population_percent_t-1,Inflation_consumer_prices_annual_percent_t-1,Gross_fixed_capital_formation_percent_of_GDP_t-1,Access_to_electricity_percent_of_population_t-1,Internet_users_percent_of_population_t-1,Services_value_added_percent_of_GDP_t-1,Gross_domestic_savings_percent_of_GDP_t-1,Fertility_rate_total_t-1,FDI_net_inflows_percent_of_GDP_t-1,GDP_per_capita_constant_2015_US_t0,Trade_percent_of_GDP_t0,Unemployment_total_percent_of_labor_force_t0,Agriculture_value_added_percent_of_GDP_t0,Industry_value_added_percent_of_GDP_t0,Urban_population_percent_t0,Inflation_consumer_prices_annual_percent_t0,Gross_fixed_capital_formation_percent_of_GDP_t0,Access_to_electricity_percent_of_population_t0,Internet_users_percent_of_population_t0,Services_value_added_percent_of_GDP_t0,Gross_domestic_savings_percent_of_GDP_t0,Fertility_rate_total_t0,FDI_net_inflows_percent_of_GDP_t0
UG,Uganda,1990,1992,1990,7,-1,2,369.839286985576,26.6095437605897,,53.282907395037,10.4146329230593,9.76236043110886,,12.7040800379721,,0.0,30.4803136041729,-0.477049922696542,7.014,-0.137301388043732,377.780503685951,29.4022018591267,3.464,49.3725406407326,11.5549243469532,10.0053233054698,,15.1712651209099,5.6,,32.5427500233607,-0.766175282062996,6.943,0.0301048024069959,377.609612721367,33.0521440510063,3.556,48.2029434921098,12.4574389207897,10.2158523630824,,15.9163452639467,,,33.6323679047455,-0.264867326715664,6.913,0.104988428525206
UG,Uganda,1992,1994,1990,7,-1,2,377.609612721367,33.0521440510063,3.556,48.2029434921098,12.4574389207897,10.2158523630824,,15.9163452639467,,,33.6323679047455,-0.264867326715664,6.913,0.104988428525206,395.163949168597,28.2398345380313,3.497,48.2848821835563,12.2679192015395,10.4008727872617,,15.2150401994073,,,33.1313086992143,6.17760918469793,6.886,1.69542100473886,406.592301920177,27.8393598574633,3.471,46.1698486683772,12.8233722021603,10.5688660932226,10.0367598792175,14.6343065311901,0.533898532390594,,33.4883541237242,7.70475448097503,6.899,2.2102878668809
UG,Uganda,1994,1996,1990,7,-1,2,406.592301920177,27.8393598574633,3.471,46.1698486683772,12.8233722021603,10.5688660932226,10.0367598792175,14.6343065311901,0.533898532390594,,33.4883541237242,7.70475448097503,6.899,2.2102878668809,441.226201168263,32.62314586277,3.235,45.2953876100708,13.1060785593771,10.7273719125031,6.55014018970371,16.3673442316062,6.8,0.00286,33.3067285507324,4.934851818068,6.871,2.10569518111373,468.427898950193,35.3854868820104,3.213,41.0372015173252,14.7093091916828,10.8839298766407,7.19164660433344,16.9728012774724,2.81110429763794,0.00463,35.1601716342249,10.755626061627,6.835,2.00179157800548
UG,Uganda,1996,1998,1990,7,-1,2,468.427898950193,35.3854868820104,3.213,41.0372015173252,14.7093091916828,10.8839298766407,7.19164660433344,16.9728012774724,2.81110429763794,0.00463,35.1601716342249,10.755626061627,6.835,2.00179157800548,478.250663988847,34.1585669652784,3.247,38.1199597496033,15.9366696942402,11.0460796171733,8.16902144106963,16.8941618081021,3.94494771957397,0.0103,36.739717870347,14.0667598807563,6.856,2.79136538541262,487.008977266219,30.043921931244,3.437,38.2510485122684,16.4380304481358,11.2213607656387,0.0688041719983172,15.9240447805555,5.07471179962158,0.0653,36.2299791948747,6.02925927149037,6.837,3.18915524586374
UG,Uganda,1998,2000,1990,7,0,2,487.008977266219,30.043921931244,3.437,38.2510485122684,16.4380304481358,11.2213607656387,0.0688041719983172,15.9240447805555,5.07471179962158,0.0653,36.2299791948747,6.02925927149037,6.837,3.18915524586374,509.455395054388,36.0247101570245,3.468,34.7859787484548,17.8468236368977,11.4173129535746,5.77736898687895,19.265179238009,6.19963407516479,0.106,37.8227069675793,8.43012226614611,6.825,2.33722633189323,509.19755319016,32.7490333383822,3.529,27.5091068813608,21.4381815994678,11.6414758125187,3.39202158512998,19.233964611848,7.4,0.163714,44.6702768031338,8.03760696386977,6.788,2.59476174980504
UG,Uganda,2000,2002,2000,7,0,9,509.19755319016,32.7490333383822,3.529,27.5091068813608,21.4381815994678,11.6414758125187,3.39202158512998,19.233964611848,7.4,0.163714,44.6702768031338,8.03760696386977,6.788,2.59476174980504,519.456547890884,35.3299767819725,3.52,27.8502414795273,21.168654308304,11.9013889740088,1.86512524084773,19.047563027436,8.6,0.237945,44.7796646510108,7.00824790933196,6.757,2.59388837097761,547.405338919875,36.2777941561831,3.5,23.4334280026675,22.9201021171547,12.202793574555,-0.287508511765196,19.9632838513961,7.8,0.384094,47.7413871970957,5.75608464423788,6.735,2.98852729237692
UG,Uganda,2002,2004,2000,7,0,9,547.405338919875,36.2777941561831,3.5,23.4334280026675,22.9201021171547,12.202793574555,-0.287508511765196,19.9632838513961,7.8,0.384094,47.7413871970957,5.75608464423788,6.735,2.98852729237692,564.720539196569,36.5857264641268,3.6,24.5070225774825,22.6767077659616,12.5904136719317,8.68047651566884,20.6833256726828,10.5,0.46485,46.5378749382528,7.21604218571339,6.671,3.06033199910157,585.339489080616,35.4600862456436,2.705,21.6703526422179,20.8640088141741,13.1221118400615,3.72128743978228,19.9444298032441,11.6,0.719971,52.0323458233141,10.2274340919268,6.612,3.72085072270846
UG,Uganda,2004,2006,2000,7,0,9,585.339489080616,35.4600862456436,2.705,21.6703526422179,20.8640088141741,13.1221118400615,3.72128743978228,19.9444298032441,11.6,0.719971,52.0323458233141,10.2274340919268,6.612,3.72085072270846,604.404813057618,38.9942854839061,1.9,25.0749361336647,23.5101064935397,13.7907239496723,8.44872642299532,22.2017167509714,8.9,1.74221,45.3122507865985,11.8736894388593,6.525,4.11082611076276,650.270540867444,43.6332857896204,2.272,24.0349329838703,22.7661611506903,14.5851520274647,7.31067613561864,20.9249602485175,9.0,2.52936,47.119794496076,8.25332077859658,6.429,6.45705802026041
UG,Uganda,2006,2008,2000,6,0,9,650.270540867444,43.6332857896204,2.272,24.0349329838703,22.7661611506903,14.5851520274647,7.31067613561864,20.9249602485175,9.0,2.52936,47.119794496076,8.25332077859658,6.429,6.45705802026041,684.542241787248,46.7774166522822,2.677,22.2781136788689,25.0773314305706,15.494298100139,6.1385108328505,21.8688822859194,14.8,3.67197,46.9260980681393,8.84151282463174,6.326,6.65659725038112,722.565167003452,56.2582682050634,3.052,21.3845985625607,25.768110035453,16.5070641943955,12.0508555482886,22.7482520102968,15.9,3.88,46.8958814777585,15.2797903280671,6.202,5.04737190164171
UG,Uganda,2008,2010,2000,6,0,9,722.565167003452,56.2582682050634,3.052,21.3845985625607,25.768110035453,16.5070641943955,12.0508555482886,22.7482520102968,15.9,3.88,46.8958814777585,15.2797903280671,6.202,5.04737190164171,749.342865535423,47.0638780748379,3.6,34.872859937466,27.2861852856713,17.6123523369348,13.0172561889185,24.5565945444507,10.0,4.1,44.6270560606876,14.563664368204,6.124,3.3491615513943,768.624091660131,38.2692490371291,3.619,32.8680090776536,27.5918336188994,18.7990645544572,3.97655288478168,26.6490161355142,12.1,4.3,44.7858823687755,15.2433352241982,6.019,2.03900471067451
