country_code,country_name,snapshot_year,time_index,decade,bmu_x,bmu_y,cluster,GDP_per_capita_constant_2015_US_t-2,Trade_percent_of_GDP_t-2,Unemployment_total_percent_of_labor_force_t-2,Agriculture_value_added_percent_of_GDP_t-2,Industry_value_added_percent_of_GDP_t-2,Urban_population_percent_t-2,Inflation_consumer_prices_annual_percent_t-2,Gross_fixed_capital_formation_percent_of_GDP_t-2,Access_to_electricity_percent_of_population_t-2,Internet_users_percent_of_population_t-2,Services_value_added_percent_of_GDP_t-2,Gross_domestic_savings_percent_of_GDP_t-2,FDI_net_inflows_percent_of_GDP_t-2,GDP_per_capita_constant_2015_US_t-1,Trade_percent_of_GDP_t-1,Unemployment_total_percent_of_labor_force_t-1,Agriculture_value_added_percent_of_GDP_t-1,Industry_value_added_percent_of_GDP_t-1,Urban_population_percent_t-1,Inflation_consumer_prices_annual_percent_t-1,Gross_fixed_capital_formation_percent_of_GDP_t-1,Access_to_electricity_percent_of_population_t-1,Internet_users_percent_of_population_t-1,Services_value_added_percent_of_GDP_t-1,Gross_domestic_savings_percent_of_GDP_t-1,FDI_net_inflows_percent_of_GDP_t-1,GDP_per_capita_constant_2015_US_t0,Trade_percent_of_GDP_t0,Unemployment_total_percent_of_labor_force_t0,Agriculture_value_added_percent_of_GDP_t0,Industry_value_added_percent_of_GDP_t0,Urban_population_percent_t0,Inflation_consumer_prices_annual_percent_t0,Gross_fixed_capital_formation_percent_of_GDP_t0,Access_to_electricity_percent_of_population_t0,Internet_users_percent_of_population_t0,Services_value_added_percent_of_GDP_t0,Gross_domestic_savings_percent_of_GDP_t0,FDI_net_inflows_percent_of_GDP_t0
VG,British Virgin Islands,1980,1982,1980,4,-3,1,,,,,,22.5671367645264,,,,,,,,,,,,,23.6299058630717,,,,,,,,,,,,,25.040529232911,,,,,,,
VG,British Virgin Islands,1982,1984,1980,4,-3,1,,,,,,25.040529232911,,,,,,,,,,,,,26.713598772565,,,,,,,,,,,,,28.5637063805548,,,,,,,
VG,British Virgin Islands,1984,1986,1980,5,-2,1,,,,,,28.5637063805548,,,,,,,,,,,,,30.5054439554011,,,,,,,,,,,,,32.4534033956248,,,,,,,
VG,British Virgin Islands,1986,1988,1980,4,-2,1,,,,,,32.4534033956248,,,,,,,,,,,,,34.3221765997468,,,,,,,,,,,,,36.0263554662879,,,,,,,
VG,British Virgin Islands,1988,1990,1980,5,0,1,,,,,,36.0263554662879,,,,,,,,,,,,,37.480531893769,,,,,,,,,,,,,38.599297780711,,,94.606559753418,0.0,,,
VG,British Virgin Islands,1990,1992,1990,5,0,1,,,,,,38.599297780711,,,94.606559753418,0.0,,,,,,,,,39.2972450256348,,,94.8247375488281,,,,,,,,,,39.7457566056898,,,95.0428009033203,,,,
VG,British Virgin Islands,1992,1994,1990,4,0,1,,,,,,39.7457566056898,,,95.0428009033203,,,,,,,,,,40.1694979266964,,,95.2601928710938,,,,,,,,,,40.5629845301817,,,95.4762191772461,,,,
VG,British Virgin Islands,1994,1996,1990,4,0,1,,,,,,40.5629845301817,,,95.4762191772461,,,,,,,,,,40.9207319576729,,,95.6902008056641,,,,,,,,,,41.2372557506969,,,95.9014739990234,,,,
VG,British Virgin Islands,1996,1998,1990,4,0,1,,,,,,41.2372557506969,,,95.9014739990234,,,,,,,,,,41.507071450781,,,96.1093368530273,,,,,,,,,,41.7246945994523,,,96.3131256103516,,,,
VG,British Virgin Islands,1998,2000,1990,4,0,1,,,,,,41.7246945994523,,,96.3131256103516,,,,,,,,,,41.8846407382378,,,96.512077331543,,,,,,,,,,41.9814254086647,,,97.1,,,,
