country_code,country_name,snapshot_year,time_index,decade,bmu_x,bmu_y,cluster,GDP_per_capita_constant_2015_US_t-2,Trade_percent_of_GDP_t-2,Unemployment_total_percent_of_labor_force_t-2,Agriculture_value_added_percent_of_GDP_t-2,Industry_value_added_percent_of_GDP_t-2,Urban_population_percent_t-2,Inflation_consumer_prices_annual_percent_t-2,Gross_fixed_capital_formation_percent_of_GDP_t-2,Access_to_electricity_percent_of_population_t-2,Internet_users_percent_of_population_t-2,Services_value_added_percent_of_GDP_t-2,Gross_domestic_savings_percent_of_GDP_t-2,FDI_net_inflows_percent_of_GDP_t-2,GDP_per_capita_constant_2015_US_t-1,Trade_percent_of_GDP_t-1,Unemployment_total_percent_of_labor_force_t-1,Agriculture_value_added_percent_of_GDP_t-1,Industry_value_added_percent_of_GDP_t-1,Urban_population_percent_t-1,Inflation_consumer_prices_annual_percent_t-1,Gross_fixed_capital_formation_percent_of_GDP_t-1,Access_to_electricity_percent_of_population_t-1,Internet_users_percent_of_population_t-1,Services_value_added_percent_of_GDP_t-1,Gross_domestic_savings_percent_of_GDP_t-1,FDI_net_inflows_percent_of_GDP_t-1,GDP_per_capita_constant_2015_US_t0,Trade_percent_of_GDP_t0,Unemployment_total_percent_of_labor_force_t0,Agriculture_value_added_percent_of_GDP_t0,Industry_value_added_percent_of_GDP_t0,Urban_population_percent_t0,Inflation_consumer_prices_annual_percent_t0,Gross_fixed_capital_formation_percent_of_GDP_t0,Access_to_electricity_percent_of_population_t0,Internet_users_percent_of_population_t0,Services_value_added_percent_of_GDP_t0,Gross_domestic_savings_percent_of_GDP_t0,FDI_net_inflows_percent_of_GDP_t0
VI,Virgin Islands (U.S.),1980,1982,1980,5,0,1,,,,,,39.5577190604055,,,,,,,,,,,,,41.6544449978874,,,,,,,,,,,,,44.1147999863176,,,,,,,
VI,Virgin Islands (U.S.),1982,1984,1980,4,0,1,,,,,,44.1147999863176,,,,,,,,,,,,,46.8689027395738,,,,,,,,,,,,,49.8692447277032,,,,,,,
VI,Virgin Islands (U.S.),1984,1986,1980,5,1,1,,,,,,49.8692447277032,,,,,,,,,,,,,53.0683174207525,,,,,,,,,,,,,56.418612288769,,,,,,,
VI,Virgin Islands (U.S.),1986,1988,1980,5,3,1,,,,,,56.418612288769,,,,,,,,,,,,,59.8726208017995,,,,,,,,,,,,,63.382834429891,,,,,,,
VI,Virgin Islands (U.S.),1988,1990,1980,5,3,1,,,,,,63.382834429891,,,,,,,,,,,,,66.9017446430906,,,,,,,,,,,,,70.3818429114451,,,100.0,0.0,,,
VI,Virgin Islands (U.S.),1990,1992,1990,0,6,7,,,,,,70.3818429114451,,,100.0,0.0,,,,,,10.917,,,73.7756207050017,,,100.0,,,,,,,11.088,,,77.0355694938073,,,100.0,,,,
VI,Virgin Islands (U.S.),1992,1994,1990,0,6,7,,,11.088,,,77.0355694938073,,,100.0,,,,,,,11.187,,,80.1141807479089,,,100.0,,,,,,,10.959,,,82.9639459373535,,,100.0,0.941,,,
VI,Virgin Islands (U.S.),1994,1996,1990,0,6,7,,,10.959,,,82.9639459373535,,,100.0,0.941,,,,,,10.611,,,85.5373565321881,,,100.0,2.8,,,,,,10.647,,,87.7869040024597,,,100.0,4.65,,,
VI,Virgin Islands (U.S.),1996,1998,1990,0,6,7,,,10.647,,,87.7869040024597,,,100.0,4.65,,,,,,10.547,,,89.6650798182152,,,100.0,6.95,,,,,,10.446,,,91.1243754495017,,,100.0,9.25,,,
VI,Virgin Islands (U.S.),1998,2000,1990,0,6,7,,,10.446,,,91.1243754495017,,,100.0,9.25,,,,,,10.172,,,92.1172823663661,,,100.0,11.1,,,,,,9.834,,,92.6234446497486,,,100.0,13.8151,,,
VI,Virgin Islands (U.S.),2000,2002,2000,-2,4,9,,,9.834,,,92.6234446497486,,,100.0,13.8151,,,,,,9.969,,,92.9312505278715,,,100.0,18.3758,,,,43205.7246740388,283.169834457388,10.227,,,93.2191674762441,,,100.0,27.4944,,25.229920294298,
