country_code,country_name,snapshot_year,time_index,decade,bmu_x,bmu_y,cluster,GDP_per_capita_constant_2015_US_t-2,Trade_percent_of_GDP_t-2,Unemployment_total_percent_of_labor_force_t-2,Agriculture_value_added_percent_of_GDP_t-2,Industry_value_added_percent_of_GDP_t-2,Urban_population_percent_t-2,Inflation_consumer_prices_annual_percent_t-2,Gross_fixed_capital_formation_percent_of_GDP_t-2,Access_to_electricity_percent_of_population_t-2,Internet_users_percent_of_population_t-2,Services_value_added_percent_of_GDP_t-2,Gross_domestic_savings_percent_of_GDP_t-2,FDI_net_inflows_percent_of_GDP_t-2,GDP_per_capita_constant_2015_US_t-1,Trade_percent_of_GDP_t-1,Unemployment_total_percent_of_labor_force_t-1,Agriculture_value_added_percent_of_GDP_t-1,Industry_value_added_percent_of_GDP_t-1,Urban_population_percent_t-1,Inflation_consumer_prices_annual_percent_t-1,Gross_fixed_capital_formation_percent_of_GDP_t-1,Access_to_electricity_percent_of_population_t-1,Internet_users_percent_of_population_t-1,Services_value_added_percent_of_GDP_t-1,Gross_domestic_savings_percent_of_GDP_t-1,FDI_net_inflows_percent_of_GDP_t-1,GDP_per_capita_constant_2015_US_t0,Trade_percent_of_GDP_t0,Unemployment_total_percent_of_labor_force_t0,Agriculture_value_added_percent_of_GDP_t0,Industry_value_added_percent_of_GDP_t0,Urban_population_percent_t0,Inflation_consumer_prices_annual_percent_t0,Gross_fixed_capital_formation_percent_of_GDP_t0,Access_to_electricity_percent_of_population_t0,Internet_users_percent_of_population_t0,Services_value_added_percent_of_GDP_t0,Gross_domestic_savings_percent_of_GDP_t0,FDI_net_inflows_percent_of_GDP_t0
XK,Kosovo,1980,1982,1980,5,-2,1,,,,,,32.1244960968406,,,,,,,,,,,,,32.630311675309,,,,,,,,,,,,,33.159103592104,,,,,,,
XK,Kosovo,1982,1984,1980,5,-2,1,,,,,,33.159103592104,,,,,,,,,,,,,33.7180936312109,,,,,,,,,,,,,34.2867580703257,,,,,,,
XK,Kosovo,1984,1986,1980,3,-3,1,,,,,,34.2867580703257,,,,,,,,,,,,,34.8470365705681,,,,,,,,,,,,,35.3808687930578,,,,,,,
XK,Kosovo,1986,1988,1980,3,-3,1,,,,,,35.3808687930578,,,,,,,,,,,,,35.8701943989144,,,,,,,,,,,,,36.2969530492577,,,,,,,
XK,Kosovo,1988,1990,1980,5,0,1,,,,,,36.2969530492577,,,,,,,,,,,,,36.6430844052072,,,,,,,,,,,,,36.8905281278828,,,100.0,,,,
XK,Kosovo,1990,1992,1990,4,0,1,,,,,,36.8905281278828,,,100.0,,,,,,,,,,37.0273860392739,,,100.0,,,,,,,,,,37.1143013226547,,,100.0,,,,
XK,Kosovo,1992,1994,1990,4,0,1,,,,,,37.1143013226547,,,100.0,,,,,,,,,,37.1905133835362,,,100.0,,,,,,,,,,37.2551464019431,,,100.0,,,,
XK,Kosovo,1994,1996,1990,4,0,1,,,,,,37.2551464019431,,,100.0,,,,,,,,,,37.3096898581184,,,100.0,,,,,,,,,,37.3556332323052,,,100.0,,,,
XK,Kosovo,1996,1998,1990,4,0,1,,,,,,37.3556332323052,,,100.0,,,,,,,,,,37.3944660047464,,,100.0,,,,,,,,,,37.4276776556851,,,100.0,,,,
XK,Kosovo,1998,2000,1990,5,0,1,,,,,,37.4276776556851,,,100.0,,,,,,,,,,37.4567576653642,,,100.0,,,,,,,,,,37.4831955140268,,,,,,,
XK,Kosovo,2000,2002,2000,4,-1,1,,,,,,37.4831955140268,,,,,,,,,,,,,37.508480681916,,,,,,,,,,,,,37.5341026492746,,,,,,,
XK,Kosovo,2002,2004,2000,5,1,1,,,,,,37.5341026492746,,,,,,,,,,,,,37.5615508963458,-1.08481262327414,,,,,,,,,,,,37.5923149033726,-1.06472696605525,,,,,,
XK,Kosovo,2004,2006,2000,6,2,1,,,,,,37.5923149033726,-1.06472696605525,,,,,,,,,,,,37.627884150598,-1.38518913159299,,,,,,,,,,,,37.6697481182649,0.621646938601728,,,,,,
