country_code,country_name,snapshot_year,time_index,decade,bmu_x,bmu_y,cluster,GDP_per_capita_constant_2015_US_t-2,Trade_percent_of_GDP_t-2,Unemployment_total_percent_of_labor_force_t-2,Agriculture_value_added_percent_of_GDP_t-2,Industry_value_added_percent_of_GDP_t-2,Urban_population_percent_t-2,Inflation_consumer_prices_annual_percent_t-2,Gross_fixed_capital_formation_percent_of_GDP_t-2,Access_to_electricity_percent_of_population_t-2,Internet_users_percent_of_population_t-2,Services_value_added_percent_of_GDP_t-2,Gross_domestic_savings_percent_of_GDP_t-2,Fertility_rate_total_t-2,FDI_net_inflows_percent_of_GDP_t-2,GDP_per_capita_constant_2015_US_t-1,Trade_percent_of_GDP_t-1,Unemployment_total_percent_of_labor_force_t-1,Agriculture_value_added_percent_of_GDP_t-1,Industry_value_added_percent_of_GDP_t-1,Urban_population_percent_t-1,Inflation_consumer_prices_annual_percent_t-1,Gross_fixed_capital_formation_percent_of_GDP_t-1,Access_to_electricity_percent_of_population_t-1,Internet_users_percent_of_population_t-1,Services_value_added_percent_of_GDP_t-1,Gross_domestic_savings_percent_of_GDP_t-1,Fertility_rate_total_t-1,FDI_net_inflows_percent_of_GDP_t-1,GDP_per_capita_constant_2015_US_t0,Trade_percent_of_GDP_t0,Unemployment_total_percent_of_labor_force_t0,Agriculture_value_added_percent_of_GDP_t0,Industry_value_added_percent_of_GDP_t0,Urban_population_percent_t0,Inflation_consumer_prices_annual_percent_t0,Gross_fixed_capital_formation_percent_of_GDP_t0,Access_to_electricity_percent_of_population_t0,Internet_users_percent_of_population_t0,Services_value_added_percent_of_GDP_t0,Gross_domestic_savings_percent_of_GDP_t0,Fertility_rate_total_t0,FDI_net_inflows_percent_of_GDP_t0
ZA,South Africa,1990,1992,1990,5,7,4,4544.23023212165,38.2118009241798,,3.7770561775014,35.6076007199649,51.9679908313922,14.3209918914915,19.6346821943599,,0.0,52.4390804809169,18.1739015782195,3.724,-0.0600742002495873,4396.36069450543,34.8816092569776,23.002,3.74350458027535,34.4217067552365,52.4000015258789,15.3347785733672,17.8611989071624,,0.0133,54.1811753361547,17.6728986982375,3.618,0.187963513611018,4225.814328485,34.3213534993474,23.262,3.14920989404015,33.060858320151,52.6805094926402,13.874703748615,16.3687813304511,,0.0389,56.9491865117711,17.0182357839383,3.479,0.0022850477176505
ZA,South Africa,1992,1994,1990,4,7,4,4225.814328485,34.3213534993474,23.262,3.14920989404015,33.060858320151,52.6805094926402,13.874703748615,16.3687813304511,,0.0389,56.9491865117711,17.0182357839383,3.479,0.0022850477176505,4193.59826135345,35.6981243460429,23.179,3.42257462613413,31.9307593029594,52.893505042748,9.71742729803028,14.7481168654162,,0.114,57.3095753093944,18.0633026868458,3.372,0.0076704815968297,4258.26184733408,37.1146091666279,22.942,3.75544808249115,31.230316330669,53.0838026074521,8.938563723594,14.9889127441024,,0.247,57.3140764710769,17.3455878748063,3.258,0.24389539814991
ZA,South Africa,1994,1996,1990,4,7,4,4258.26184733408,37.1146091666279,22.942,3.75544808249115,31.230316330669,53.0838026074521,8.938563723594,14.9889127441024,,0.247,57.3140764710769,17.3455878748063,3.258,0.24389539814991,4337.29729686998,39.4780337793026,22.647,3.12158524596013,30.9818655662995,53.2962166180026,8.68042421392631,15.7024239847946,,0.677,58.2314446131759,18.7727201194363,3.172,0.72694450392697,4465.50649854807,42.199251732528,22.48,3.41658824480889,29.8899862560641,53.5749191516739,7.35411972085333,15.8049377773119,57.6,0.842,59.214983285733,18.0355452740157,2.991,0.500131495666207
ZA,South Africa,1996,1998,1990,4,7,4,4465.50649854807,42.199251732528,22.48,3.41658824480889,29.8899862560641,53.5749191516739,7.35411972085333,15.8049377773119,57.6,0.842,59.214983285733,18.0355452740157,2.991,0.500131495666207,4527.04992403877,42.3013344291831,22.518,3.265895498876,29.2506309429667,54.0040163031993,8.59777611252274,16.1501322913786,69.4833526611328,1.63,59.9623259250618,17.2069945370844,2.734,2.25505250994968,4494.85711232358,44.0357453368965,22.673,3.03418044396185,28.576366566325,54.6562438276427,6.88054521037351,16.5139705071343,64.9,2.91,60.4023022949226,17.3246782922496,2.63,0.359738435986599
ZA,South Africa,1998,2000,1990,4,7,4,4494.85711232358,44.0357453368965,22.673,3.03418044396185,28.576366566325,54.6562438276427,6.88054521037351,16.5139705071343,64.9,2.91,60.4023022949226,17.3246782922496,2.63,0.359738435986599,4552.85007973031,42.2582960172673,22.791,2.84639917281201,27.6656022125323,55.4408521794673,5.18148905111697,14.841275516056,71.331787109375,4.12,61.406463138041,17.1424174123871,2.559,0.992187596290552,4700.87555500704,46.2207217354077,22.714,2.61474799327768,28.2297555130289,56.2589954883628,5.33895913599828,14.3870549981056,72.4,5.34856,61.1859808725457,17.8089364372188,2.413,0.638427514423676
ZA,South Africa,2000,2002,2000,4,7,14,4700.87555500704,46.2207217354077,22.714,2.61474799327768,28.2297555130289,56.2589954883628,5.33895913599828,14.3870549981056,72.4,5.34856,61.1859808725457,17.8089364372188,2.413,0.638427514423676,4786.482450463,49.170945185829,22.605,2.8124516945524,28.531613122664,57.0014339378269,5.70189483049608,14.3633064576751,70.2,6.34662,60.7831497223987,18.0648204115687,2.373,5.36834529785161,4916.81498068625,53.4655016294369,22.547,2.95697182549084,28.5059160154765,57.6723587528482,9.494713780996,14.0272853046852,76.7,6.71032,60.791789515513,20.5379658538168,2.324,1.14635726911695
ZA,South Africa,2002,2004,2000,4,7,14,4916.81498068625,53.4655016294369,22.547,2.95697182549084,28.5059160154765,57.6723587528482,9.494713780996,14.0272853046852,76.7,6.71032,60.791789515513,20.5379658538168,2.324,1.14635726911695,5011.62223150169,45.723862568979,22.629,2.65397752870021,26.8928680646111,58.3724341232066,5.67942414068799,14.65691258189,78.8,7.00769,62.5769415025101,21.23064903318,2.358,0.397492744432543,5187.35683424034,45.6435752240041,22.538,2.411716114862,26.3036366679746,59.0977390950102,-0.692039437857687,15.1672389589002,80.6,8.42512,62.5295022900426,19.3255563304109,2.436,0.274199790569949
ZA,South Africa,2004,2006,2000,4,7,14,5187.35683424034,45.6435752240041,22.538,2.411716114862,26.3036366679746,59.0977390950102,-0.692039437857687,15.1672389589002,80.6,8.42512,62.5295022900426,19.3255563304109,2.436,0.274199790569949,5406.07581377638,47.4277813970329,22.461,2.08511798972012,26.0150792659507,59.8241758378997,2.06285308223427,15.8783049029154,80.8,7.48854,62.6447743317012,20.2579717753556,2.512,2.25781874505445,5650.9883176549,53.7681412741145,22.324,2.05097651238464,24.8591176319147,60.5276465215157,3.2439076541923,17.365539559823,80.7,7.60714,63.4994322880989,20.574156187312,2.548,0.205125538574008
ZA,South Africa,2006,2008,2000,4,7,14,5650.9883176549,53.7681412741145,22.324,2.05097651238464,24.8591176319147,60.5276465215157,3.2439076541923,17.365539559823,80.7,7.60714,63.4994322880989,20.574156187312,2.548,0.205125538574008,5891.42069421698,57.125139137747,22.287,2.35591400504256,25.2946183090828,61.1840533154988,6.17781214809388,19.0216163054292,82.0,8.06538,62.7545126209971,20.6455037878079,2.545,1.97755772219349,6009.71963138635,65.9745237996233,22.407,2.57248876696489,26.9415561091344,61.7692983894896,9.90998456005467,21.6148222161088,81.9,8.43,61.5371405407045,19.8902702015577,2.679,3.12686614310453
ZA,South Africa,2008,2010,2000,4,7,14,6009.71963138635,65.9745237996233,22.407,2.57248876696489,26.9415561091344,61.7692983894896,9.90998456005467,21.6148222161088,81.9,8.43,61.5371405407045,19.8902702015577,2.679,3.12686614310453,5847.05811084505,49.5875353278801,23.523,2.39949613487755,25.7430761887593,62.2592839131287,7.23809523809527,19.4908649747967,82.6,10.0,63.6360883195073,20.2013233155767,2.501,2.31217470344994,5953.94506512821,50.4060871625999,24.683,2.10778749314158,25.3034630993363,62.6299120560569,4.06749555950263,17.5616357245929,82.8,24.0,64.2752626096743,19.6364469267725,2.445,0.884904611686012
