country_code,country_name,snapshot_year,time_index,decade,bmu_x,bmu_y,cluster,GDP_per_capita_constant_2015_US_t-2,Trade_percent_of_GDP_t-2,Unemployment_total_percent_of_labor_force_t-2,Agriculture_value_added_percent_of_GDP_t-2,Industry_value_added_percent_of_GDP_t-2,Urban_population_percent_t-2,Inflation_consumer_prices_annual_percent_t-2,Gross_fixed_capital_formation_percent_of_GDP_t-2,Access_to_electricity_percent_of_population_t-2,Internet_users_percent_of_population_t-2,Services_value_added_percent_of_GDP_t-2,Gross_domestic_savings_percent_of_GDP_t-2,FDI_net_inflows_percent_of_GDP_t-2,GDP_per_capita_constant_2015_US_t-1,Trade_percent_of_GDP_t-1,Unemployment_total_percent_of_labor_force_t-1,Agriculture_value_added_percent_of_GDP_t-1,Industry_value_added_percent_of_GDP_t-1,Urban_population_percent_t-1,Inflation_consumer_prices_annual_percent_t-1,Gross_fixed_capital_formation_percent_of_GDP_t-1,Access_to_electricity_percent_of_population_t-1,Internet_users_percent_of_population_t-1,Services_value_added_percent_of_GDP_t-1,Gross_domestic_savings_percent_of_GDP_t-1,FDI_net_inflows_percent_of_GDP_t-1,GDP_per_capita_constant_2015_US_t0,Trade_percent_of_GDP_t0,Unemployment_total_percent_of_labor_force_t0,Agriculture_value_added_percent_of_GDP_t0,Industry_value_added_percent_of_GDP_t0,Urban_population_percent_t0,Inflation_consumer_prices_annual_percent_t0,Gross_fixed_capital_formation_percent_of_GDP_t0,Access_to_electricity_percent_of_population_t0,Internet_users_percent_of_population_t0,Services_value_added_percent_of_GDP_t0,Gross_domestic_savings_percent_of_GDP_t0,FDI_net_inflows_percent_of_GDP_t0
ZM,Zambia,1990,1992,1990,-2,4,12,24.074652044469318,,,18.2025763190401,45.2940709370037,39.3639924846036,58.37608242578792,,13.9,0.0,24.8448032468678,,6.16412608064376,23.680951880981123,,18.9,15.8140297733418,46.2836924661369,39.2536515579652,57.675010164735184,,12.7527027130127,,28.6431203092601,,1.01575254601441,23.029910338575817,,19.568,21.2675485107907,43.7348041659936,39.0972462878148,61.72423152572114,,19.2,,24.3110519625538,,1.41384462501141
ZM,Zambia,1992,1994,1990,-3,2,1,23.029910338575817,,19.568,21.2675485107907,43.7348041659936,39.0972462878148,61.72423152572114,,19.2,,24.3110519625538,,1.41384462501141,23.686027936188083,,19.7,30.4787304635698,37.4428935375837,38.8993519782475,62.49895205203203,,14.213207244873,,21.4548315553759,,9.6043832825919,21.90075233572984,66.6505948295585,18.689,11.826502598294,37.3249460731444,38.6659731487597,53.25107409594724,,14.9417591094971,0.00678,38.0478886818969,,1.09385070431742
ZM,Zambia,1994,1996,1990,-3,4,13,21.90075233572984,66.6505948295585,18.689,11.826502598294,37.3249460731444,38.6659731487597,53.25107409594724,,14.9417591094971,0.00678,38.0478886818969,,1.09385070431742,21.97009778335755,69.2267746955964,16.834,14.089372097349,34.3135138066491,38.4031143188477,49.88160701955333,,15.6682720184326,0.00878,39.6525085504343,,2.81062427616587,22.530130285966024,63.8214821755312,15.3,13.2982447838973,33.2019994461786,37.9842763417749,51.45804067600071,,17.3,0.00907,41.5435244139859,,3.53328309110399
ZM,Zambia,1996,1998,1990,-3,4,13,22.530130285966024,63.8214821755312,15.3,13.2982447838973,33.2019994461786,37.9842763417749,51.45804067600071,,17.3,0.00907,41.5435244139859,,3.53328309110399,22.7160689064552,58.272862622336,13.273,13.9825484776443,32.3806375563294,37.3758882162063,47.21104736257866,,17.1124591827393,0.00933,41.4718491062604,,4.81956998648727,22.245348366818355,56.2503070199594,12.0,15.86841123023,27.2773913264713,36.7233466797411,47.22310076860295,,19.0,0.0302,44.8458308951369,,5.59679036097289
ZM,Zambia,1998,2000,1990,-3,4,13,22.245348366818355,56.2503070199594,12.0,15.86841123023,27.2773913264713,36.7233466797411,47.22310076860295,,19.0,0.0302,44.8458308951369,,5.59679036097289,22.537204674582117,59.7675342029156,12.498,18.1899716550729,22.8198423592505,36.1720484699782,47.8986627273468,,18.5402450561523,0.147,47.5025146082224,,4.7587086630329,22.695700318765184,60.3874689884965,12.93,16.1497734560385,23.2438941549244,35.8735460960387,47.685444295955335,,16.7,0.191072,48.9595335232782,,3.37996207983055
ZM,Zambia,2000,2002,2000,-3,4,7,22.695700318765184,60.3874689884965,12.93,16.1497734560385,23.2438941549244,35.8735460960387,47.685444295955335,,16.7,0.191072,48.9595335232782,,3.37996207983055,23.03316290019774,64.668282708979,13.404,15.5274822358648,23.3606116903584,35.8846482932758,46.23332057567914,,20.2,0.23313,49.0993517149354,,3.54138670780308,23.24119289177447,64.9164969990648,14.131,15.361429938368,23.8755524352252,36.0706035730014,46.5173352516992,,17.4,0.477751,49.7243429106408,,7.11494136195091
ZM,Zambia,2002,2004,2000,-3,4,7,23.24119289177447,64.9164969990648,14.131,15.361429938368,23.8755524352252,36.0706035730014,46.5173352516992,,17.4,0.477751,49.7243429106408,,7.11494136195091,23.80627142971025,62.3128446757629,14.704,15.6170996158156,24.1349730396824,36.3858560115875,46.23600661532253,,18.5,0.980483,49.7205872731509,,7.07893144253237,24.372571051189805,70.8130749317722,15.332,15.5809428822284,25.6961251757115,36.8035881130253,44.95203039554699,,20.3,1.1,48.8099285446496,,5.85168864010044
ZM,Zambia,2004,2006,2000,-3,4,7,24.372571051189805,70.8130749317722,15.332,15.5809428822284,25.6961251757115,36.8035881130253,44.95203039554699,,20.3,1.1,48.8099285446496,,5.85168864010044,24.94908466419211,62.200282191364,15.9,14.5885513717285,26.8496240283076,37.2969823813059,45.095780024425686,,23.3,1.3,48.9576146258726,,4.28403218909524,25.60041171158692,57.8568188739027,13.229,13.2062710587766,30.3961173223662,37.8392213204204,40.02721563047649,,24.1,1.6,47.5154757432367,,4.82712872237458
ZM,Zambia,2006,2008,2000,-3,4,7,25.60041171158692,57.8568188739027,13.229,13.2062710587766,30.3961173223662,37.8392213204204,40.02721563047649,,24.1,1.6,47.5154757432367,,4.82712872237458,26.30372430267055,65.7714586909068,10.559,12.1055962375597,31.9096804308122,38.4034874343601,41.19549708096858,,18.5,1.9,47.4546801554357,,9.41811167277731,26.917161747952395,59.4548891205874,7.93,11.4539997547605,30.9906155705809,38.9629632271162,42.296775235280165,,25.7,2.2,49.0298347278234,,5.24050811284723
ZM,Zambia,2008,2010,2000,-2,4,6,26.917161747952395,59.4548891205874,7.93,11.4539997547605,30.9906155705809,38.9629632271162,42.296775235280165,,25.7,2.2,49.0298347278234,,5.24050811284723,27.74357298142735,56.1213809555165,10.583,11.5527836333973,30.2244688791227,39.4908312026796,42.8234266937298,,26.6,2.5,51.5546034007674,,4.53277977632725,28.73571694119983,65.0147025206122,13.19,9.42094610981773,32.2389147610701,39.9558857709992,39.6177422662556,25.8912216136989,22.0,3.0,52.8064557009767,38.7439808029622,8.53319643791576
ZM,Zambia,2010,2012,2010,-2,4,11,28.73571694119983,65.0147025206122,13.19,9.42094610981773,32.2389147610701,39.9558857709992,39.6177422662556,25.8912216136989,22.0,3.0,52.8064557009767,38.7439808029622,8.53319643791576,29.06348031364515,72.7954324384283,10.548,9.64805782176724,34.4442819243584,40.3684491825881,37.71918205507841,27.974700660769,28.3,3.5,50.3856175027169,39.3569403591491,4.72516156867912,29.70197574141762,75.367709855907,7.85,9.32163953570601,32.0106503918136,40.7698556821596,37.86986957998003,23.8778545961034,29.2,4.1,53.193632268128,40.8901761261815,6.78938124085044
ZM,Zambia,2012,2014,2010,0,-4,1,29.70197574141762,75.367709855907,7.85,9.32163953570601,32.0106503918136,40.7698556821596,37.86986957998003,23.8778545961034,29.2,4.1,53.193632268128,40.8901761261815,6.78938124085044,29.97288324702468,80.4562410213373,7.272,8.22652318427817,32.5564491082462,41.1682266235825,38.26863052151494,25.8003983321329,30.1,4.8,53.1376428491188,40.5791958025785,7.48932505567266,30.19420800136198,76.1934997276313,6.576,6.77959785217865,32.9441480248783,41.5634741658525,39.03170132334136,31.0377113251483,27.9,6.5,53.5124177356887,40.4582918594697,5.55542791808588
