decade,cluster_id,cluster_name,gdp_centroid,n_neurons
1990,1,Least Developed,-0.62,39
1990,3,Low Income,-0.56,1
1990,2,Lower-Middle Income,-0.14,20
1990,5,Upper-Middle Income,0.16,29
1990,4,High Income,2.4,4
2000,2,Least Developed,-0.66,15
2000,1,Least Developed (2),-0.62,7
2000,8,Least Developed (2),-0.62,4
2000,15,Low Income,-0.56,1
2000,9,Low Income (2),-0.5,14
2000,13,Lower-Middle Income,-0.44,3
2000,14,Lower-Middle Income (2),-0.4,11
2000,10,Middle Income,-0.37,11
2000,11,Middle Income (2),0.3,18
2000,4,Upper-Middle Income,0.35,5
2000,5,Upper-Middle Income (2),0.47,5
2000,12,High Income,0.5,6
2000,7,High Income (2),1.5,1
2000,3,Advanced Economies,2.19,6
2000,6,Advanced Economies (2),2.85,3
2010,4,Least Developed,-0.66,11
2010,7,Least Developed (2),-0.63,1
2010,1,Least Developed (2),-0.6,11
2010,5,Low Income,-0.6,13
2010,6,Low Income (2),-0.52,8
2010,3,Lower-Middle Income,-0.44,4
2010,2,Lower-Middle Income (2),-0.44,3
2010,12,Middle Income,-0.38,4
2010,11,Middle Income (2),-0.09,14
2010,13,Upper-Middle Income,0.17,8
2010,15,Upper-Middle Income (2),0.42,10
2010,10,High Income,0.68,5
2010,9,High Income (2),1.5,1
2010,14,Advanced Economies,2.32,4
2010,8,Advanced Economies (2),2.85,3
2020,1,Least Developed,-0.65,11
2020,7,Least Developed (2),-0.63,1
2020,3,Least Developed (2),-0.61,3
2020,6,Low Income,-0.59,8
2020,5,Low Income (2),-0.5,6
2020,2,Lower-Middle Income,-0.46,2
2020,4,Lower-Middle Income (2),-0.45,5
2020,12,Middle Income,-0.4,2
2020,13,Middle Income (2),-0.08,7
2020,10,Upper-Middle Income,0.35,5
2020,15,Upper-Middle Income (2),0.62,6
2020,11,High Income,0.64,4
2020,9,High Income (2),1.5,1
2020,14,Advanced Economies,2.32,4
2020,8,Advanced Economies (2),3.02,2
