decade,neuron_x,neuron_y,cluster_id
1990,-5,1,10
1990,-4,-1,10
1990,-4,0,10
1990,-4,5,8
1990,-3,-3,10
1990,-3,5,8
1990,-2,-3,12
1990,-2,-2,10
1990,-2,-1,10
1990,-2,3,9
1990,-2,4,9
1990,-2,5,9
1990,-2,6,8
1990,-1,-4,12
1990,-1,-3,12
1990,-1,3,9
1990,-1,4,9
1990,-1,5,9
1990,-1,6,9
1990,-1,7,9
1990,0,-4,14
1990,0,-3,11
1990,0,-2,11
1990,0,-1,11
1990,0,4,9
1990,0,5,9
1990,0,6,9
1990,0,7,9
1990,1,-4,11
1990,1,-3,11
1990,1,-2,11
1990,1,-1,11
1990,1,3,5
1990,1,4,9
1990,1,5,5
1990,1,6,5
1990,2,-5,13
1990,2,-3,11
1990,2,-2,11
1990,2,1,6
1990,2,3,5
1990,2,4,5
1990,2,5,5
1990,2,6,5
1990,3,-6,13
1990,3,-5,13
1990,3,-4,11
1990,3,-3,6
1990,3,-2,6
1990,3,-1,6
1990,3,1,6
1990,3,2,6
1990,3,3,5
1990,3,4,5
1990,3,5,5
1990,3,6,5
1990,3,7,4
1990,4,-5,1
1990,4,-4,1
1990,4,-3,1
1990,4,-2,6
1990,4,0,6
1990,4,1,6
1990,4,2,6
1990,4,3,6
1990,4,4,5
1990,4,5,5
1990,4,6,5
1990,4,7,4
1990,4,8,4
1990,5,-4,1
1990,5,-3,1
1990,5,-2,1
1990,5,-1,2
1990,5,0,2
1990,5,1,2
1990,5,2,6
1990,5,3,6
1990,5,4,5
1990,5,5,5
1990,5,6,5
1990,5,7,4
1990,5,8,4
1990,6,-4,1
1990,6,-3,2
1990,6,-2,2
1990,6,-1,2
1990,6,0,2
1990,6,1,2
1990,6,2,2
1990,6,4,5
1990,6,5,5
1990,6,6,5
1990,6,7,7
1990,7,-2,2
1990,7,-1,2
1990,7,0,2
1990,7,1,2
1990,7,2,2
1990,7,3,2
1990,7,4,2
1990,7,5,7
1990,7,6,7
1990,8,-1,3
1990,8,0,2
1990,8,2,2
1990,8,4,7
1990,8,5,7
1990,9,2,2
1990,9,3,2
1990,9,4,7
2000,-5,1,4
2000,-4,-1,4
2000,-4,0,4
2000,-4,1,3
2000,-4,3,3
2000,-4,5,1
2000,-3,-3,11
2000,-3,-1,4
2000,-3,0,4
2000,-3,1,3
2000,-3,2,3
2000,-3,3,3
2000,-3,4,3
2000,-3,5,1
2000,-3,6,1
2000,-3,7,2
2000,-2,-3,11
2000,-2,-2,11
2000,-2,-1,4
