snapshot_year,neuron_x,neuron_y,ps_cluster,optimal_k,db_score,is_active
1990,-2,1,10,12,0.9497,0
1990,5,-2,3,12,0.9497,1
1990,0,3,10,12,0.9497,0
1990,4,6,10,12,0.9497,1
1990,0,4,10,12,0.9497,0
1990,-1,3,10,12,0.9497,0
1990,-2,2,10,12,0.9497,0
1990,5,5,2,12,0.9497,0
1990,-1,4,10,12,0.9497,0
1990,6,-2,3,12,0.9497,0
1990,7,2,4,12,0.9497,1
1990,4,7,2,12,0.9497,0
1990,2,1,10,12,0.9497,0
1990,-3,-1,6,12,0.9497,0
1990,1,-1,10,12,0.9497,0
1990,-4,7,11,12,0.9497,1
1990,2,2,10,12,0.9497,1
1990,2,-3,7,12,0.9497,0
1990,-3,0,6,12,0.9497,1
1990,1,-4,9,12,0.9497,0
1990,1,0,10,12,0.9497,1
1990,3,-1,7,12,0.9497,1
1990,4,-2,7,12,0.9497,1
1990,-2,6,11,12,0.9497,1
1990,0,1,10,12,0.9497,0
1990,-1,1,10,12,0.9497,0
1990,3,-4,8,12,0.9497,1
1990,3,0,7,12,0.9497,0
1990,0,8,12,12,0.9497,1
1990,-2,7,12,12,0.9497,1
1990,-3,3,11,12,0.9497,0
1990,4,5,2,12,0.9497,1
1990,0,2,10,12,0.9497,1
1990,0,-3,7,12,0.9497,0
1990,-3,4,11,12,0.9497,0
1990,1,3,10,12,0.9497,0
1990,-1,2,10,12,0.9497,0
1990,-1,-3,7,12,0.9497,0
1990,1,4,10,12,0.9497,1
1990,-4,5,11,12,0.9497,1
1990,2,6,10,12,0.9497,1
1990,5,-1,3,12,0.9497,1
1990,3,3,2,12,0.9497,1
1990,3,4,10,12,0.9497,1
1990,2,7,10,12,0.9497,1
1990,-2,-2,6,12,0.9497,1
1990,5,0,3,12,0.9497,1
1990,6,-1,3,12,0.9497,1
1990,0,-5,9,12,0.9497,1
1990,0,6,12,12,0.9497,0
1990,-2,5,11,12,0.9497,0
1990,-1,6,12,12,0.9497,1
1990,-3,1,11,12,0.9497,0
1990,6,0,4,12,0.9497,0
1990,1,1,10,12,0.9497,1
1990,2,-2,7,12,0.9497,1
1990,0,7,10,12,0.9497,0
1990,5,3,4,12,0.9497,1
1990,-1,7,12,12,0.9497,1
1990,5,4,2,12,0.9497,1
1990,-3,2,11,12,0.9497,0
1990,1,8,12,12,0.9497,1
1990,1,2,10,12,0.9497,1
1990,3,1,2,12,0.9497,0
1990,1,-3,7,12,0.9497,1
1990,2,5,10,12,0.9497,1
1990,4,-1,3,12,0.9497,1
1990,-4,-1,6,12,0.9497,0
1990,4,-4,8,12,0.9497,1
1990,3,2,2,12,0.9497,1
1990,4,0,3,12,0.9497,1
1990,0,-2,7,12,0.9497,0
1990,3,-3,8,12,0.9497,0
1990,-1,-2,7,12,0.9497,1
1990,0,5,10,12,0.9497,1
1990,-3,6,11,12,0.9497,1
1990,-1,5,10,12,0.9497,0
1990,1,-5,9,12,0.9497,1
1990,5,1,4,12,0.9497,1
1990,1,6,10,12,0.9497,1
1990,4,3,2,12,0.9497,1
1990,4,4,2,12,0.9497,1
1990,-2,-1,7,12,0.9497,0
1990,-3,7,11,12,0.9497,1
1990,5,2,4,12,0.9497,1
1990,1,7,10,12,0.9497,1
1990,5,-3,3,12,0.9497,1
1990,3,6,10,12,0.9497,0
1990,6,1,4,12,0.9497,1
1990,-4,3,11,12,0.9497,0
1990,-2,0,6,12,0.9497,0
1990,7,0,5,12,0.9497,1
1990,3,7,10,12,0.9497,1
1990,6,2,4,12,0.9497,1
1990,2,-1,7,12,0.9497,1
1990,1,-2,7,12,0.9497,0
1990,-2,3,10,12,0.9497,0
1990,2,0,10,12,0.9497,1
1990,2,-4,9,12,0.9497,1
1990,-2,4,11,12,0.9497,0
1990,4,1,4,12,0.9497,1
1990,-3,5,11,12,0.9497,0
1990,5,6,2,12,0.9497,1
1990,0,9,12,12,0.9497,1
1990,1,5,10,12,0.9497,1
1990,3,-2,7,12,0.9497,0
1990,-4,1,6,12,0.9497,0
1990,0,-1,10,12,0.9497,0
1990,4,2,2,12,0.9497,1
1990,4,-3,3,12,0.9497,1
1990,5,7,1,12,0.9497,1
1990,-1,-1,7,12,0.9497,0
1990,6,6,1,12,0.9497,1
1990,2,3,10,12,0.9497,1
1990,3,5,10,12,0.9497,1
1990,0,-4,9,12,0.9497,0
1990,0,0,10,12,0.9497,0
1990,2,4,10,12,0.9497,1
1990,-4,2,11,12,0.9497,0
1990,-1,0,10,12,0.9497,0
1994,-2,1,10,12,0.9126,0
1994,5,-2,1,12,0.9126,1
1994,0,3,12,12,0.9126,1
1994,4,6,5,12,0.9126,1
1994,0,4,12,12,0.9126,0
1994,-1,3,12,12,0.9126,0
1994,-2,2,10,12,0.9126,0
1994,5,5,5,12,0.9126,0
1994,-1,4,12,12,0.9126,0
1994,6,-2,2,12,0.9126,1
1994,7,2,2,12,0.9126,1
1994,4,7,5,12,0.9126,1
