snapshot_year,time_index,decade,decade_k,n_clusters,n_countries,n_active_neurons,db_score,sil_score
1980,1982,1980,10,9,119,50,1.1146992571274483,0.20170125196919023
1982,1984,1980,10,9,119,55,1.1146992571274483,0.20170125196919023
1984,1986,1980,10,10,119,56,1.1146992571274483,0.20170125196919023
1986,1988,1980,10,10,119,50,1.1146992571274483,0.20170125196919023
1988,1990,1980,10,9,119,50,1.1146992571274483,0.20170125196919023
1990,1992,1990,10,10,119,50,1.0867430668113127,0.22763519272967603
1992,1994,1990,10,10,119,51,1.0867430668113127,0.22763519272967603
1994,1996,1990,10,10,119,47,1.0867430668113127,0.22763519272967603
1996,1998,1990,10,10,119,53,1.0867430668113127,0.22763519272967603
1998,2000,1990,10,10,119,55,1.0867430668113127,0.22763519272967603
2000,2002,2000,10,9,119,60,1.0311738774731147,0.24200322872518318
2002,2004,2000,10,9,119,63,1.0311738774731147,0.24200322872518318
2004,2006,2000,10,9,119,66,1.0311738774731147,0.24200322872518318
2006,2008,2000,10,9,119,62,1.0311738774731147,0.24200322872518318
2008,2010,2000,10,10,119,65,1.0311738774731147,0.24200322872518318
2010,2012,2010,8,8,119,60,1.0238782097816501,0.2509157292250153
2012,2014,2010,8,8,119,53,1.0238782097816501,0.2509157292250153
2014,2016,2010,8,8,119,55,1.0238782097816501,0.2509157292250153
2016,2018,2010,8,8,119,51,1.0238782097816501,0.2509157292250153
2018,2020,2010,8,8,119,50,1.0238782097816501,0.2509157292250153
2020,2022,2020,8,8,119,47,0.9191798937719334,0.28720598831709754
2022,2024,2020,1,0,0,0,,
