k,davies_bouldin_score,silhouette_score
2,1.280744729046547,0.2899315882659936
3,1.2941221807955314,0.2742907689746514
4,1.3663199997054432,0.21366923340724384
5,1.249364195457338,0.22514791042081375
6,1.404945167454228,0.1783809185423336
7,1.3000753259562567,0.19577012777071756
8,1.214864886692636,0.1967000178854179
9,1.2252333694889679,0.20499407497581779
10,1.0646939697510107,0.20138805076730495
11,1.101144375939747,0.18341635849982385
12,1.065385651031958,0.1994382457339363
13,1.0265429053379351,0.2082979570266922
14,1.0233341190209804,0.20631810788071073
15,0.9867137362994545,0.21272876746911548
