lambda,max_neurons,avg_k,avg_db,avg_sil
3.0,50,11.2,0.692844247730013,0.27299194078802536
3.0,60,7.0,0.7105914200476952,0.34190480064918033
3.0,70,5.4,0.7629869660907164,0.32355872090686216
4.0,50,11.2,0.692844247730013,0.27299194078802536
4.0,60,7.0,0.7105914200476952,0.34190480064918033
4.0,70,5.4,0.7629869660907164,0.32355872090686216
5.0,50,11.2,0.692844247730013,0.27299194078802536
5.0,60,7.0,0.7105914200476952,0.34190480064918033
5.0,70,5.4,0.7629869660907164,0.32355872090686216
6.0,50,11.2,0.692844247730013,0.27299194078802536
6.0,60,7.0,0.7105914200476952,0.34190480064918033
6.0,70,5.4,0.7629869660907164,0.32355872090686216
